#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10747,1261217,Cp-1p24,Cp-1p24,-,-,-,-,holin protein,protein-coding,-,-,-,holin protein,20201220,-
10747,1261219,Cp-1p23,Cp-1p23,-,-,-,-,DNA encapsidation protein,protein-coding,-,-,-,DNA encapsidation protein,20201220,-
10747,1261221,cpl1,Cp-1p25,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
10747,1261222,Cp-1p19,Cp-1p19,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
10747,1261224,Cp-1p16,Cp-1p16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261225,Cp-1p05,Cp-1p05,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
10747,1261226,Cp-1p03,Cp-1p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261228,Cp-1p04,Cp-1p04,-,-,-,-,terminal protein,protein-coding,-,-,-,terminal protein,20201220,-
10747,1261231,Cp-1p26,Cp-1p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261232,Cp-1p27,Cp-1p27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261234,Cp-1p20,Cp-1p20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261235,Cp-1p18,Cp-1p18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261236,Cp-1p08,Cp-1p08,-,-,-,-,possible scaffolding protein,protein-coding,-,-,-,possible scaffolding protein,20201220,-
10747,1261238,Cp-1p09,Cp-1p09,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201220,-
10747,1261239,Cp-1p15,Cp-1p15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261240,Cp-1p12,Cp-1p12,-,-,-,-,lower collar protein,protein-coding,-,-,-,lower collar protein,20201220,-
10747,1261242,Cp-1p07,Cp-1p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261244,Cp-1p02,Cp-1p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261245,Cp-1p13,Cp-1p13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261246,Cp-1p21,Cp-1p21,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
10747,1261247,Cp-1p11,Cp-1p11,-,-,-,-,upper collar protein,protein-coding,-,-,-,upper collar protein,20201220,-
10747,1261248,Cp-1p14,Cp-1p14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261249,Cp-1p06,Cp-1p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261250,Cp-1p28,Cp-1p28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,1261254,Cp-1p01,Cp-1p01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10747,2828477,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage CP-1; Streptococcus phage Cp-1; phage CP-1).,other,-,-,-,-,20210609,-
