#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647472,28800015,BH786_gp02,BH786_gp02,GMA5_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1647472,28800016,BH786_gp03,BH786_gp03,GMA5_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800017,BH786_gp04,BH786_gp04,GMA5_4,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1647472,28800018,BH786_gp05,BH786_gp05,GMA5_5,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647472,28800019,BH786_gp06,BH786_gp06,GMA5_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800020,BH786_gp07,BH786_gp07,GMA5_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800021,BH786_gp08,BH786_gp08,GMA5_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800022,BH786_gp09,BH786_gp09,GMA5_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800023,BH786_gp12,BH786_gp12,GMA5_12,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1647472,28800024,BH786_gp11,BH786_gp11,GMA5_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800025,BH786_gp10,BH786_gp10,GMA5_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800026,BH786_gp13,BH786_gp13,GMA5_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800027,BH786_gp14,BH786_gp14,GMA5_14,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647472,28800028,BH786_gp15,BH786_gp15,GMA5_15,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647472,28800029,BH786_gp16,BH786_gp16,GMA5_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800030,BH786_gp17,BH786_gp17,GMA5_17,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20201221,-
1647472,28800031,BH786_gp18,BH786_gp18,GMA5_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800032,BH786_gp19,BH786_gp19,GMA5_19,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20201221,-
1647472,28800033,BH786_gp20,BH786_gp20,GMA5_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800034,BH786_gp21,BH786_gp21,GMA5_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800035,BH786_gp22,BH786_gp22,GMA5_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800036,BH786_gp23,BH786_gp23,GMA5_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800037,BH786_gp24,BH786_gp24,GMA5_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800038,BH786_gp25,BH786_gp25,GMA5_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800039,BH786_gp26,BH786_gp26,GMA5_26,-,-,-,putative DNA polymerase III subunit epsilon,protein-coding,-,-,-,putative DNA polymerase III subunit epsilon,20201221,-
1647472,28800040,BH786_gp27,BH786_gp27,GMA5_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800041,BH786_gp28,BH786_gp28,GMA5_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647472,28800042,BH786_gp01,BH786_gp01,GMA5_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
