#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2776876,60327113,2,I5H24_gp002,SEA_COCO12_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2776876,60327114,3,I5H24_gp003,SEA_COCO12_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2776876,60327115,4,I5H24_gp004,SEA_COCO12_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2776876,60327116,5,I5H24_gp005,SEA_COCO12_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2776876,60327117,6,I5H24_gp006,SEA_COCO12_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2776876,60327118,7,I5H24_gp007,SEA_COCO12_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2776876,60327119,8,I5H24_gp008,SEA_COCO12_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2776876,60327120,9,I5H24_gp009,SEA_COCO12_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2776876,60327121,10,I5H24_gp010,SEA_COCO12_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2776876,60327122,11,I5H24_gp011,SEA_COCO12_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2776876,60327123,12,I5H24_gp012,SEA_COCO12_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2776876,60327124,14,I5H24_gp013,SEA_COCO12_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2776876,60327125,15,I5H24_gp015,SEA_COCO12_15,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2776876,60327126,13,I5H24_gp014,SEA_COCO12_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2776876,60327127,16,I5H24_gp016,SEA_COCO12_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2776876,60327128,17,I5H24_gp017,SEA_COCO12_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776876,60327129,18,I5H24_gp018,SEA_COCO12_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776876,60327130,19,I5H24_gp019,SEA_COCO12_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776876,60327131,20,I5H24_gp020,SEA_COCO12_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2776876,60327132,21,I5H24_gp021,SEA_COCO12_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2776876,60327133,22,I5H24_gp022,SEA_COCO12_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327134,23,I5H24_gp023,SEA_COCO12_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327135,24,I5H24_gp024,SEA_COCO12_24,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210529,-
2776876,60327136,25,I5H24_gp025,SEA_COCO12_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327137,26,I5H24_gp026,SEA_COCO12_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327138,27,I5H24_gp027,SEA_COCO12_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327139,28,I5H24_gp028,SEA_COCO12_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327140,29,I5H24_gp029,SEA_COCO12_29,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2776876,60327141,30,I5H24_gp030,SEA_COCO12_30,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2776876,60327142,31,I5H24_gp031,SEA_COCO12_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2776876,60327143,32,I5H24_gp032,SEA_COCO12_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2776876,60327144,33,I5H24_gp033,SEA_COCO12_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2776876,60327145,34,I5H24_gp034,SEA_COCO12_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327146,35,I5H24_gp035,SEA_COCO12_35,-,-,-,DnaQ-like DNA polymerase III,protein-coding,-,-,-,DnaQ-like DNA polymerase III,20201129,-
2776876,60327147,36,I5H24_gp036,SEA_COCO12_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327148,37,I5H24_gp037,SEA_COCO12_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327149,38,I5H24_gp038,SEA_COCO12_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2776876,60327150,39,I5H24_gp039,SEA_COCO12_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327151,40,I5H24_gp040,SEA_COCO12_40,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210529,-
2776876,60327152,41,I5H24_gp041,SEA_COCO12_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327153,42,I5H24_gp042,SEA_COCO12_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2776876,60327154,43,I5H24_gp043,SEA_COCO12_43,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210529,-
2776876,60327155,44,I5H24_gp044,SEA_COCO12_44,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210529,-
2776876,60327156,45,I5H24_gp045,SEA_COCO12_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2776876,60327157,46,I5H24_gp046,SEA_COCO12_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327158,47,I5H24_gp047,SEA_COCO12_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327159,48,I5H24_gp048,SEA_COCO12_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327160,49,I5H24_gp049,SEA_COCO12_49,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2776876,60327161,50,I5H24_gp050,SEA_COCO12_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327162,51,I5H24_gp051,SEA_COCO12_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327163,52,I5H24_gp052,SEA_COCO12_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327164,53,I5H24_gp053,SEA_COCO12_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327165,54,I5H24_gp054,SEA_COCO12_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327166,55,I5H24_gp055,SEA_COCO12_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2776876,60327167,56,I5H24_gp056,SEA_COCO12_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2776876,60327168,57,I5H24_gp057,SEA_COCO12_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2776876,60327169,58,I5H24_gp058,SEA_COCO12_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2776876,60327170,59,I5H24_gp059,SEA_COCO12_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2776876,60327171,60,I5H24_gp060,SEA_COCO12_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327172,61,I5H24_gp061,SEA_COCO12_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327173,62,I5H24_gp062,SEA_COCO12_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327174,63,I5H24_gp063,SEA_COCO12_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327175,64,I5H24_gp064,SEA_COCO12_64,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210529,-
2776876,60327176,65,I5H24_gp065,SEA_COCO12_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2776876,60327177,66,I5H24_gp066,SEA_COCO12_66,-,-,-,DNA helicase/DNA methylase,protein-coding,-,-,-,DNA helicase/DNA methylase,20210529,-
2776876,60327178,67,I5H24_gp067,SEA_COCO12_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327179,68,I5H24_gp068,SEA_COCO12_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327180,69,I5H24_gp069,SEA_COCO12_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327181,70,I5H24_gp070,SEA_COCO12_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327182,71,I5H24_gp071,SEA_COCO12_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327183,72,I5H24_gp072,SEA_COCO12_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327184,73,I5H24_gp073,SEA_COCO12_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327185,74,I5H24_gp074,SEA_COCO12_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327186,75,I5H24_gp075,SEA_COCO12_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327187,76,I5H24_gp076,SEA_COCO12_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327188,77,I5H24_gp077,SEA_COCO12_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327189,78,I5H24_gp078,SEA_COCO12_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327190,79,I5H24_gp079,SEA_COCO12_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327191,80,I5H24_gp080,SEA_COCO12_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327192,81,I5H24_gp081,SEA_COCO12_81,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20201129,-
2776876,60327193,82,I5H24_gp082,SEA_COCO12_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327194,83,I5H24_gp083,SEA_COCO12_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327195,84,I5H24_gp084,SEA_COCO12_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327196,85,I5H24_gp085,SEA_COCO12_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327197,86,I5H24_gp086,SEA_COCO12_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327198,87,I5H24_gp087,SEA_COCO12_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327199,88,I5H24_gp088,SEA_COCO12_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327200,89,I5H24_gp089,SEA_COCO12_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327201,90,I5H24_gp090,SEA_COCO12_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327202,91,I5H24_gp091,SEA_COCO12_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327203,92,I5H24_gp092,SEA_COCO12_92,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210123,-
2776876,60327204,93,I5H24_gp093,SEA_COCO12_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327205,94,I5H24_gp094,SEA_COCO12_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327206,95,I5H24_gp095,SEA_COCO12_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327207,96,I5H24_gp096,SEA_COCO12_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327208,97,I5H24_gp097,SEA_COCO12_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327209,98,I5H24_gp098,SEA_COCO12_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327210,99,I5H24_gp099,SEA_COCO12_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327211,100,I5H24_gp100,SEA_COCO12_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327212,101,I5H24_gp101,SEA_COCO12_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327213,102,I5H24_gp102,SEA_COCO12_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2776876,60327214,103,I5H24_gp103,SEA_COCO12_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2776876,60327215,104,I5H24_gp104,SEA_COCO12_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
2776876,60327216,1,I5H24_gp001,SEA_COCO12_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2776876,60338917,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
