#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296658,40082380,FDI01_gp002,FDI01_gp002,JIMMER2_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296658,40082381,FDI01_gp003,FDI01_gp003,JIMMER2_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082382,FDI01_gp004,FDI01_gp004,JIMMER2_4,-,-,-,"portal protein, SPP1 family",protein-coding,-,-,-,"portal protein, SPP1 family",20200629,-
1296658,40082383,FDI01_gp005,FDI01_gp005,JIMMER2_5,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1296658,40082384,FDI01_gp006,FDI01_gp006,JIMMER2_6,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20200629,-
1296658,40082385,FDI01_gp007,FDI01_gp007,JIMMER2_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082386,FDI01_gp008,FDI01_gp008,JIMMER2_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1296658,40082387,FDI01_gp009,FDI01_gp009,JIMMER2_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082388,FDI01_gp010,FDI01_gp010,JIMMER2_10,-,-,-,putative DNA packaging protein,protein-coding,-,-,-,putative DNA packaging protein,20200629,-
1296658,40082389,FDI01_gp011,FDI01_gp011,JIMMER2_11,-,-,-,head joining protein,protein-coding,-,-,-,head joining protein,20200629,-
1296658,40082390,FDI01_gp012,FDI01_gp012,JIMMER2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082391,FDI01_gp013,FDI01_gp013,JIMMER2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082392,FDI01_gp014,FDI01_gp014,JIMMER2_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082393,FDI01_gp015,FDI01_gp015,JIMMER2_15,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1296658,40082394,FDI01_gp016,FDI01_gp016,JIMMER2_16,-,-,-,core tail protein,protein-coding,-,-,-,core tail protein,20200629,-
1296658,40082395,FDI01_gp017,FDI01_gp017,JIMMER2_17,-,-,-,DNA binding/transcriptional regulator,protein-coding,-,-,-,DNA binding/transcriptional regulator,20200629,-
1296658,40082396,FDI01_gp018,FDI01_gp018,JIMMER2_18,-,-,-,DNA binding/transcriptional regulator,protein-coding,-,-,-,DNA binding/transcriptional regulator,20200629,-
1296658,40082397,FDI01_gp019,FDI01_gp019,JIMMER2_19,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20200629,-
1296658,40082398,FDI01_gp020,FDI01_gp020,JIMMER2_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082399,FDI01_gp021,FDI01_gp021,JIMMER2_21,-,-,-,phage xKdn-like protein,protein-coding,-,-,-,phage xKdn-like protein,20200629,-
1296658,40082400,FDI01_gp022,FDI01_gp022,JIMMER2_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082401,FDI01_gp023,FDI01_gp023,JIMMER2_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082402,FDI01_gp024,FDI01_gp024,JIMMER2_24,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20200629,-
1296658,40082403,FDI01_gp025,FDI01_gp025,JIMMER2_25,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201221,-
1296658,40082404,FDI01_gp026,FDI01_gp026,JIMMER2_26,-,-,-,late control D protein,protein-coding,-,-,-,late control D protein,20200629,-
1296658,40082405,FDI01_gp027,FDI01_gp027,JIMMER2_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082406,FDI01_gp028,FDI01_gp028,JIMMER2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082407,FDI01_gp029,FDI01_gp029,JIMMER2_29,-,-,-,baseplate J family protein,protein-coding,-,-,-,baseplate J family protein,20200629,-
1296658,40082408,FDI01_gp030,FDI01_gp030,JIMMER2_30,-,-,-,phage-like element PBSX protein,protein-coding,-,-,-,phage-like element PBSX protein,20200629,-
1296658,40082409,FDI01_gp031,FDI01_gp031,JIMMER2_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082410,FDI01_gp032,FDI01_gp032,JIMMER2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082411,FDI01_gp033,FDI01_gp033,JIMMER2_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082412,FDI01_gp034,FDI01_gp034,JIMMER2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082413,FDI01_gp035,FDI01_gp035,JIMMER2_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082414,FDI01_gp036,FDI01_gp036,JIMMER2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082415,FDI01_gp037,FDI01_gp037,JIMMER2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082416,FDI01_gp038,FDI01_gp038,JIMMER2_38,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase,protein-coding,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase,20200629,-
1296658,40082417,FDI01_gp039,FDI01_gp039,JIMMER2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082418,FDI01_gp040,FDI01_gp040,JIMMER2_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082419,FDI01_gp041,FDI01_gp041,JIMMER2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082420,FDI01_gp042,FDI01_gp042,JIMMER2_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082421,FDI01_gp043,FDI01_gp043,JIMMER2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082422,FDI01_gp044,FDI01_gp044,JIMMER2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082423,FDI01_gp045,FDI01_gp045,JIMMER2_45,-,-,-,kelch repeat protein,protein-coding,-,-,-,kelch repeat protein,20200629,-
1296658,40082424,FDI01_gp046,FDI01_gp046,JIMMER2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082425,FDI01_gp047,FDI01_gp047,JIMMER2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082426,FDI01_gp048,FDI01_gp048,JIMMER2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
