#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
294382,3197261,BCBBV1cgp40,BCBBV1cgp40,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
294382,3197262,BCBBV1cgp50,BCBBV1cgp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197263,BCBBV1cgp19,BCBBV1cgp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197264,BCBBV1cgp20,BCBBV1cgp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197265,BCBBV1cgp41,BCBBV1cgp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197266,BCBBV1cgp46,BCBBV1cgp46,-,-,-,-,tail shaft protein,protein-coding,-,-,-,tail shaft protein,20201220,-
294382,3197267,BCBBV1cgp14,BCBBV1cgp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197268,BCBBV1cgp27,BCBBV1cgp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197269,BCBBV1cgp29,BCBBV1cgp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197270,BCBBV1cgp24,BCBBV1cgp24,-,-,-,-,rus,protein-coding,-,-,-,rus,20201220,-
294382,3197271,BCBBV1cgp39,BCBBV1cgp39,-,-,-,-,scaffold,protein-coding,-,-,-,scaffold,20201220,-
294382,3197272,BCBBV1cgp21,BCBBV1cgp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197273,BCBBV1cgp35,BCBBV1cgp35,-,-,-,-,portal,protein-coding,-,-,-,portal,20201220,-
294382,3197274,BCBBV1cgp33,BCBBV1cgp33,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
294382,3197275,BCBBV1cgp30,BCBBV1cgp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197276,BCBBV1cgp51,BCBBV1cgp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197277,BCBBV1cgp38,BCBBV1cgp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197278,BCBBV1cgp49,BCBBV1cgp49,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
294382,3197279,BCBBV1cgp59,BCBBV1cgp59,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201220,-
294382,3197280,BCBBV1cgp45,BCBBV1cgp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197281,BCBBV1cgp37,BCBBV1cgp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197282,BCBBV1cgp44,BCBBV1cgp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197283,BCBBV1cgp53,BCBBV1cgp53,-,-,-,-,host specificity protein,protein-coding,-,-,-,host specificity protein,20201220,-
294382,3197284,BCBBV1cgp28,BCBBV1cgp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197285,BCBBV1cgp52,BCBBV1cgp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197286,BCBBV1cgp22,BCBBV1cgp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197287,BCBBV1cgp2,BCBBV1cgp2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197288,BCBBV1cgp6,BCBBV1cgp6,-,-,-,-,cro,protein-coding,-,-,-,cro,20201220,-
294382,3197289,BCBBV1cgp4,BCBBV1cgp4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197290,BCBBV1cgp42,BCBBV1cgp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197292,BCBBV1cgp23,BCBBV1cgp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197293,BCBBV1cgp58,BCBBV1cgp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197294,BCBBV1cgp3,BCBBV1cgp3,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
294382,3197295,BCBBV1cgp12,BCBBV1cgp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197296,BCBBV1cgp48,BCBBV1cgp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197297,BCBBV1cgp8,BCBBV1cgp8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197298,BCBBV1cgp47,BCBBV1cgp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197299,BCBBV1cgp13,BCBBV1cgp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197300,BCBBV1cgp1,BCBBV1cgp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197301,BCBBV1cgp5,BCBBV1cgp5,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20201220,-
294382,3197302,BCBBV1cgp9,BCBBV1cgp9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197303,BCBBV1cgp10,BCBBV1cgp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197304,BCBBV1cgp11,BCBBV1cgp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197305,BCBBV1cgp15,BCBBV1cgp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
