#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099646,62360181,2,JMN54_gp02,SEA_BOB3_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2099646,62360182,3,JMN54_gp03,SEA_BOB3_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360183,4,JMN54_gp04,SEA_BOB3_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360184,5,JMN54_gp05,SEA_BOB3_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360185,6,JMN54_gp06,SEA_BOB3_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360186,7,JMN54_gp07,SEA_BOB3_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360187,8,JMN54_gp08,SEA_BOB3_8,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2099646,62360188,9,JMN54_gp09,SEA_BOB3_9,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2099646,62360189,10,JMN54_gp10,SEA_BOB3_10,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2099646,62360190,11,JMN54_gp11,SEA_BOB3_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2099646,62360191,12,JMN54_gp12,SEA_BOB3_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2099646,62360192,13,JMN54_gp13,SEA_BOB3_13,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2099646,62360193,14,JMN54_gp14,SEA_BOB3_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2099646,62360194,15,JMN54_gp15,SEA_BOB3_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360195,16,JMN54_gp16,SEA_BOB3_16,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2099646,62360196,17,JMN54_gp17,SEA_BOB3_17,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2099646,62360197,18,JMN54_gp18,SEA_BOB3_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2099646,62360198,19,JMN54_gp19,SEA_BOB3_19,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2099646,62360199,20,JMN54_gp20,SEA_BOB3_20,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2099646,62360200,21,JMN54_gp21,SEA_BOB3_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099646,62360201,22,JMN54_gp22,SEA_BOB3_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099646,62360202,24,JMN54_gp24,SEA_BOB3_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099646,62360203,25,JMN54_gp25,SEA_BOB3_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099646,62360204,26,JMN54_gp26,SEA_BOB3_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099646,62360205,27,JMN54_gp27,SEA_BOB3_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2099646,62360206,28,JMN54_gp28,SEA_BOB3_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099646,62360207,29,JMN54_gp29,SEA_BOB3_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099646,62360208,30,JMN54_gp30,SEA_BOB3_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099646,62360209,31,JMN54_gp31,SEA_BOB3_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2099646,62360210,32,JMN54_gp32,SEA_BOB3_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360211,33,JMN54_gp33,SEA_BOB3_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360212,34,JMN54_gp34,SEA_BOB3_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360213,35,JMN54_gp35,SEA_BOB3_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360214,36,JMN54_gp36,SEA_BOB3_36,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2099646,62360215,37,JMN54_gp37,SEA_BOB3_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360216,38,JMN54_gp38,SEA_BOB3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360217,39,JMN54_gp39,SEA_BOB3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360218,40,JMN54_gp40,SEA_BOB3_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360219,41,JMN54_gp41,SEA_BOB3_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360220,42,JMN54_gp42,SEA_BOB3_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2099646,62360221,43,JMN54_gp43,SEA_BOB3_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360222,44,JMN54_gp44,SEA_BOB3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360223,45,JMN54_gp45,SEA_BOB3_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360224,46,JMN54_gp46,SEA_BOB3_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2099646,62360225,47,JMN54_gp47,SEA_BOB3_47,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210123,-
2099646,62360226,48,JMN54_gp48,SEA_BOB3_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360227,49,JMN54_gp49,SEA_BOB3_49,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210123,-
2099646,62360228,50,JMN54_gp50,SEA_BOB3_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360229,51,JMN54_gp51,SEA_BOB3_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360230,52,JMN54_gp52,SEA_BOB3_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360231,53,JMN54_gp53,SEA_BOB3_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2099646,62360232,54,JMN54_gp54,SEA_BOB3_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2099646,62360233,56,JMN54_gp56,SEA_BOB3_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360234,57,JMN54_gp57,SEA_BOB3_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2099646,62360235,58,JMN54_gp58,SEA_BOB3_58,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2099646,62360236,59,JMN54_gp59,SEA_BOB3_59,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2099646,62360237,60,JMN54_gp60,SEA_BOB3_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360238,61,JMN54_gp61,SEA_BOB3_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360239,62,JMN54_gp62,SEA_BOB3_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360240,63,JMN54_gp63,SEA_BOB3_63,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210417,-
2099646,62360241,64,JMN54_gp64,SEA_BOB3_64,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210212,-
2099646,62360242,65,JMN54_gp65,SEA_BOB3_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360243,66,JMN54_gp66,SEA_BOB3_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360244,67,JMN54_gp67,SEA_BOB3_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360245,68,JMN54_gp68,SEA_BOB3_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360246,69,JMN54_gp69,SEA_BOB3_69,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210212,-
2099646,62360247,70,JMN54_gp70,SEA_BOB3_70,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2099646,62360248,71,JMN54_gp71,SEA_BOB3_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360249,72,JMN54_gp72,SEA_BOB3_72,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2099646,62360250,73,JMN54_gp73,SEA_BOB3_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360251,74,JMN54_gp74,SEA_BOB3_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099646,62360252,75,JMN54_gp75,SEA_BOB3_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360253,76,JMN54_gp76,SEA_BOB3_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2099646,62360254,77,JMN54_gp77,SEA_BOB3_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360255,78,JMN54_gp78,SEA_BOB3_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360256,79,JMN54_gp79,SEA_BOB3_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360257,80,JMN54_gp80,SEA_BOB3_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360258,81,JMN54_gp81,SEA_BOB3_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360259,82,JMN54_gp82,SEA_BOB3_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360260,83,JMN54_gp83,SEA_BOB3_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360261,84,JMN54_gp84,SEA_BOB3_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360262,85,JMN54_gp85,SEA_BOB3_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360263,86,JMN54_gp86,SEA_BOB3_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360264,87,JMN54_gp87,SEA_BOB3_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099646,62360265,88,JMN54_gp88,SEA_BOB3_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360266,89,JMN54_gp89,SEA_BOB3_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360267,90,JMN54_gp90,SEA_BOB3_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099646,62360268,91,JMN54_gp91,SEA_BOB3_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360269,92,JMN54_gp92,SEA_BOB3_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360270,93,JMN54_gp93,SEA_BOB3_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360271,94,JMN54_gp94,SEA_BOB3_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360272,23,JMN54_gp23,SEA_BOB3_23,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210417,-
2099646,62360273,55,JMN54_gp55,SEA_BOB3_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62360274,1,JMN54_gp01,SEA_BOB3_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099646,62368975,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
