#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
46014,1261006,L2_06,L2_06,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
46014,1261007,L2_07,L2_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261008,L2_03,L2_03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261009,L2_02,L2_02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261010,L2_01,L2_01,-,-,-,-,envelope protein,protein-coding,-,-,-,envelope protein,20201220,-
46014,1261011,L2_08,L2_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261012,L2_11,L2_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261013,L2_09,L2_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261014,L2_10,L2_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261015,L2_12,L2_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261016,L2_13,L2_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261017,L2_14,L2_14,-,-,-,-,envelope protein,protein-coding,-,-,-,envelope protein,20201220,-
46014,1261018,L2_05,L2_05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,1261019,L2_04,L2_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
46014,2829515,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acholeplasma laidlawii phage L2; Acholeplasma phage L2; Bacteriophage L2).,other,-,-,-,-,20190327,-
