#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027260,55808316,HYP48_gp02,HYP48_gp02,LP9908_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027260,55808317,HYP48_gp03,HYP48_gp03,LP9908_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2027260,55808318,HYP48_gp04,HYP48_gp04,LP9908_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027260,55808319,HYP48_gp05,HYP48_gp05,LP9908_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2027260,55808320,HYP48_gp06,HYP48_gp06,LP9908_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027260,55808321,HYP48_gp07,HYP48_gp07,LP9908_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027260,55808322,HYP48_gp08,HYP48_gp08,LP9908_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027260,55808323,HYP48_gp09,HYP48_gp09,LP9908_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027260,55808324,HYP48_gp10,HYP48_gp10,LP9908_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027260,55808325,HYP48_gp11,HYP48_gp11,LP9908_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027260,55808326,HYP48_gp12,HYP48_gp12,LP9908_13,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2027260,55808327,HYP48_gp14,HYP48_gp14,LP9908_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027260,55808328,HYP48_gp13,HYP48_gp13,LP9908_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
