#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419614,64765545,3,KHO65_gp002,SEA_SAUCE_3,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210508,-
2419614,64765546,4,KHO65_gp003,SEA_SAUCE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765547,5,KHO65_gp004,SEA_SAUCE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765548,6,KHO65_gp005,SEA_SAUCE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765549,7,KHO65_gp006,SEA_SAUCE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765550,8,KHO65_gp007,SEA_SAUCE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765551,10,KHO65_gp009,SEA_SAUCE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765552,11,KHO65_gp010,SEA_SAUCE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765553,12,KHO65_gp011,SEA_SAUCE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765554,13,KHO65_gp012,SEA_SAUCE_13,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210508,-
2419614,64765555,14,KHO65_gp013,SEA_SAUCE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765556,15,KHO65_gp014,SEA_SAUCE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765557,16,KHO65_gp015,SEA_SAUCE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765558,17,KHO65_gp016,SEA_SAUCE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765559,18,KHO65_gp017,SEA_SAUCE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765560,19,KHO65_gp018,SEA_SAUCE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
