#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656540,63026940,2,J1771_gp02,SEA_MELBINS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2656540,63026941,3,J1771_gp03,SEA_MELBINS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026942,4,J1771_gp04,SEA_MELBINS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026943,5,J1771_gp05,SEA_MELBINS_5,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210309,-
2656540,63026944,6,J1771_gp06,SEA_MELBINS_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026945,7,J1771_gp07,SEA_MELBINS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026946,8,J1771_gp08,SEA_MELBINS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026947,9,J1771_gp09,SEA_MELBINS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026948,10,J1771_gp10,SEA_MELBINS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026949,11,J1771_gp11,SEA_MELBINS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026950,12,J1771_gp12,SEA_MELBINS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026951,13,J1771_gp13,SEA_MELBINS_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2656540,63026952,14,J1771_gp14,SEA_MELBINS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026953,15,J1771_gp15,SEA_MELBINS_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2656540,63026954,16,J1771_gp16,SEA_MELBINS_16,-,-,-,histidine triad nucleotide binding protein,protein-coding,-,-,-,histidine triad nucleotide binding protein,20210309,-
2656540,63026955,17,J1771_gp17,SEA_MELBINS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026956,18,J1771_gp18,SEA_MELBINS_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026957,19,J1771_gp19,SEA_MELBINS_19,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2656540,63026958,20,J1771_gp20,SEA_MELBINS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026959,21,J1771_gp21,SEA_MELBINS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026960,22,J1771_gp22,SEA_MELBINS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026961,23,J1771_gp23,SEA_MELBINS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026962,24,J1771_gp24,SEA_MELBINS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026963,25,J1771_gp25,SEA_MELBINS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026964,26,J1771_gp26,SEA_MELBINS_26,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2656540,63026965,27,J1771_gp27,SEA_MELBINS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026966,28,J1771_gp28,SEA_MELBINS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026967,29,J1771_gp29,SEA_MELBINS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026968,30,J1771_gp30,SEA_MELBINS_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2656540,63026969,31,J1771_gp31,SEA_MELBINS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026970,32,J1771_gp32,SEA_MELBINS_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2656540,63026971,33,J1771_gp33,SEA_MELBINS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656540,63026972,34,J1771_gp34,SEA_MELBINS_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656540,63026973,35,J1771_gp35,SEA_MELBINS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026974,36,J1771_gp36,SEA_MELBINS_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656540,63026975,37,J1771_gp37,SEA_MELBINS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026976,38,J1771_gp38,SEA_MELBINS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026977,39,J1771_gp39,SEA_MELBINS_39,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2656540,63026978,40,J1771_gp40,SEA_MELBINS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026979,41,J1771_gp41,SEA_MELBINS_41,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2656540,63026980,42,J1771_gp42,SEA_MELBINS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026981,43,J1771_gp43,SEA_MELBINS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026982,44,J1771_gp44,SEA_MELBINS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026983,45,J1771_gp45,SEA_MELBINS_45,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2656540,63026984,46,J1771_gp46,SEA_MELBINS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026985,47,J1771_gp47,SEA_MELBINS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026986,48,J1771_gp48,SEA_MELBINS_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2656540,63026987,49,J1771_gp49,SEA_MELBINS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026988,50,J1771_gp50,SEA_MELBINS_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2656540,63026989,51,J1771_gp51,SEA_MELBINS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026990,52,J1771_gp52,SEA_MELBINS_52,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2656540,63026991,53,J1771_gp53,SEA_MELBINS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026992,54,J1771_gp54,SEA_MELBINS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026993,55,J1771_gp55,SEA_MELBINS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026994,56,J1771_gp56,SEA_MELBINS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026995,57,J1771_gp57,SEA_MELBINS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026996,58,J1771_gp58,SEA_MELBINS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026997,59,J1771_gp59,SEA_MELBINS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026998,60,J1771_gp60,SEA_MELBINS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63026999,61,J1771_gp61,SEA_MELBINS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
