#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
379347,28340559,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Ruegeria mobilis; Ruegeria pelagia.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20181107,-
379347,39472240,PEPIB2_RS21535,PEPIB2_RS21535,PEPIB2_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472248,PEPIB2_RS22265,PEPIB2_RS22265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472279,PEPIB2_RS22120,PEPIB2_RS22120,PEPIB2_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472286,PEPIB2_RS22085,PEPIB2_RS22085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472287,PEPIB2_RS22080,PEPIB2_RS22080,PEPIB2_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472293,PEPIB2_RS22060,PEPIB2_RS22060,PEPIB2_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472294,PEPIB2_RS22055,PEPIB2_RS22055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472301,PEPIB2_RS22025,PEPIB2_RS22025,PEPIB2_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472303,PEPIB2_RS22015,PEPIB2_RS22015,PEPIB2_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472307,PEPIB2_RS22000,PEPIB2_RS22000,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472310,PEPIB2_RS21605,PEPIB2_RS21605,PEPIB2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472312,PEPIB2_RS21980,PEPIB2_RS21980,PEPIB2_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472316,PEPIB2_RS21960,PEPIB2_RS21960,PEPIB2_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472317,PEPIB2_RS21955,PEPIB2_RS21955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472319,PEPIB2_RS21945,PEPIB2_RS21945,PEPIB2_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472320,PEPIB2_RS21940,PEPIB2_RS21940,PEPIB2_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472332,PEPIB2_RS21895,PEPIB2_RS21895,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472334,PEPIB2_RS21885,PEPIB2_RS21885,PEPIB2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472336,PEPIB2_RS21875,PEPIB2_RS21875,PEPIB2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472343,PEPIB2_RS21840,PEPIB2_RS21840,PEPIB2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472344,PEPIB2_RS21835,PEPIB2_RS21835,PEPIB2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472345,PEPIB2_RS21830,PEPIB2_RS21830,PEPIB2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472348,PEPIB2_RS21595,PEPIB2_RS21595,PEPIB2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472350,PEPIB2_RS21810,PEPIB2_RS21810,PEPIB2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472356,PEPIB2_RS21780,PEPIB2_RS21780,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472357,PEPIB2_RS21775,PEPIB2_RS21775,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472361,PEPIB2_RS21620,PEPIB2_RS21620,PEPIB2_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
379347,39472375,PEPIB2_RS21235,PEPIB2_RS21235,PEPIB1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472384,PEPIB2_RS21370,PEPIB2_RS21370,PEPIB1_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472398,PEPIB2_RS20940,PEPIB2_RS20940,PEPIB1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472403,PEPIB2_RS21475,PEPIB2_RS21475,PEPIB1_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472410,PEPIB2_RS21350,PEPIB2_RS21350,PEPIB1_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472413,PEPIB2_RS21425,PEPIB2_RS21425,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472417,PEPIB2_RS21275,PEPIB2_RS21275,PEPIB1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472419,PEPIB2_RS21240,PEPIB2_RS21240,PEPIB1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472422,PEPIB2_RS20960,PEPIB2_RS20960,PEPIB1_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
