#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499909,65117899,KNU29_gp002,KNU29_gp002,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2499909,65117900,KNU29_gp003,KNU29_gp003,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2499909,65117901,KNU29_gp004,KNU29_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117902,KNU29_gp005,KNU29_gp005,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2499909,65117903,KNU29_gp006,KNU29_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2499909,65117904,KNU29_gp007,KNU29_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117905,KNU29_gp008,KNU29_gp008,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210607,-
2499909,65117906,KNU29_gp009,KNU29_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117907,KNU29_gp010,KNU29_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117908,KNU29_gp011,KNU29_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117909,KNU29_gp012,KNU29_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117910,KNU29_gp013,KNU29_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117911,KNU29_gp014,KNU29_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117912,KNU29_gp015,KNU29_gp015,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2499909,65117913,KNU29_gp016,KNU29_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117914,KNU29_gp017,KNU29_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117915,KNU29_gp018,KNU29_gp018,-,-,-,-,packaging and recombination endonuclease VII,protein-coding,-,-,-,packaging and recombination endonuclease VII,20210607,-
2499909,65117916,KNU29_gp019,KNU29_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117917,KNU29_gp020,KNU29_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117918,KNU29_gp021,KNU29_gp021,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2499909,65117919,KNU29_gp022,KNU29_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117920,KNU29_gp023,KNU29_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117921,KNU29_gp024,KNU29_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117922,KNU29_gp025,KNU29_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117923,KNU29_gp026,KNU29_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117924,KNU29_gp027,KNU29_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117925,KNU29_gp028,KNU29_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117926,KNU29_gp029,KNU29_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117927,KNU29_gp030,KNU29_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117928,KNU29_gp031,KNU29_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117929,KNU29_gp032,KNU29_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117930,KNU29_gp033,KNU29_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117931,KNU29_gp034,KNU29_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117932,KNU29_gp035,KNU29_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117933,KNU29_gp036,KNU29_gp036,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2499909,65117934,KNU29_gp037,KNU29_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117935,KNU29_gp038,KNU29_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117936,KNU29_gp039,KNU29_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117937,KNU29_gp040,KNU29_gp040,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2499909,65117938,KNU29_gp041,KNU29_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117939,KNU29_gp042,KNU29_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117940,KNU29_gp043,KNU29_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117941,KNU29_gp044,KNU29_gp044,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2499909,65117942,KNU29_gp045,KNU29_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117943,KNU29_gp046,KNU29_gp046,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2499909,65117944,KNU29_gp047,KNU29_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
