#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
114429,1460757,pVIII,OAdVAgp14,-,-,-,-,hexon-associated protein,protein-coding,-,-,-,hexon-associated protein,20201220,-
114429,1732707,OAdVAgp03,OAdVAgp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,1732710,OAdVAgp17,OAdVAgp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,1732713,OAdVAgp01,OAdVAgp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,1732715,OAdVAgp02,OAdVAgp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,1732717,OAdVAgp06,OAdVAgp06,-,-,-,-,terminal protein precursor,protein-coding,-,-,-,terminal protein precursor,20201220,-
114429,1732718,OAdVAgp16,OAdVAgp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,1732719,OAdVAgp04,OAdVAgp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,1732720,OAdVAgp18,OAdVAgp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,1732721,OAdVAgp05,OAdVAgp05,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
114429,1732726,OAdVAgp15,OAdVAgp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
114429,27209500,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mastadenovirus bos2; bovine adenovirus type 2; bovine adenovirus type 2 BAV2).,other,-,-,-,-,20200513,-
