#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
860376,33352271,ND4L,CGV19_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
860376,33352272,ATP6,CGV19_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
860376,33352273,CGV19_mgt08,CGV19_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352274,CGV19_mgt11,CGV19_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352275,CGV19_mgt03,CGV19_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352276,CGV19_mgt15,CGV19_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352277,CGV19_mgt16,CGV19_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352278,COX1,CGV19_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
860376,33352279,CGV19_mgt17,CGV19_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352280,CGV19_mgt21,CGV19_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352281,ND5,CGV19_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
860376,33352282,CGV19_mgt22,CGV19_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352283,CGV19_mgt01,CGV19_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352284,CGV19_mgt02,CGV19_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352285,ND6,CGV19_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
860376,33352286,CGV19_mgt04,CGV19_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352287,CGV19_mgr02,CGV19_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
860376,33352288,CGV19_mgt05,CGV19_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352289,CGV19_mgt06,CGV19_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352290,CGV19_mgt07,CGV19_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352291,ND1,CGV19_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
860376,33352292,CGV19_mgt09,CGV19_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352293,CGV19_mgt10,CGV19_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352294,ND2,CGV19_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
860376,33352295,CGV19_mgt12,CGV19_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352296,CGV19_mgt13,CGV19_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352297,CGV19_mgt14,CGV19_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352298,CYTB,CGV19_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
860376,33352299,COX3,CGV19_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
860376,33352300,ND4,CGV19_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
860376,33352301,CGV19_mgt18,CGV19_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352302,CGV19_mgt19,CGV19_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352303,CGV19_mgt20,CGV19_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
860376,33352304,COX2,CGV19_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
860376,33352305,CGV19_mgr01,CGV19_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
860376,33352306,ND3,CGV19_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
