#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
743571,54998786,HOT84_gp02,HOT84_gp02,-,-,-,-,putative capsid assembly protein,protein-coding,-,-,-,putative capsid assembly protein,20210123,-
743571,54998787,HOT84_gp03,HOT84_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
743571,54998788,HOT84_gp04,HOT84_gp04,-,-,-,-,T7-like head to tail connector,protein-coding,-,-,-,T7-like head to tail connector,20210123,-
743571,54998789,HOT84_gp05,HOT84_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
743571,54998790,HOT84_gp06,HOT84_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
743571,54998791,HOT84_gp07,HOT84_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
743571,54998792,HOT84_gp08,HOT84_gp08,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210123,-
743571,54998793,HOT84_gp09,HOT84_gp09,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210123,-
743571,54998794,HOT84_gp10,HOT84_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
743571,54998795,HOT84_gp11,HOT84_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
743571,54998796,HOT84_gp12,HOT84_gp12,-,-,-,-,DNA directed RNA polymerase,protein-coding,-,-,-,DNA directed RNA polymerase,20210123,-
743571,54998797,HOT84_gp01,HOT84_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
743571,55087360,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201104,-
