#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1970794,60330186,I5H53_gp002,I5H53_gp002,SEA_KINGSLEY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1970794,60330187,I5H53_gp003,I5H53_gp003,SEA_KINGSLEY_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
1970794,60330188,I5H53_gp004,I5H53_gp004,SEA_KINGSLEY_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
1970794,60330189,I5H53_gp005,I5H53_gp005,SEA_KINGSLEY_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
1970794,60330190,I5H53_gp006,I5H53_gp006,SEA_KINGSLEY_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
1970794,60330191,I5H53_gp007,I5H53_gp007,SEA_KINGSLEY_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1970794,60330192,I5H53_gp008,I5H53_gp008,SEA_KINGSLEY_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1970794,60330193,I5H53_gp009,I5H53_gp009,SEA_KINGSLEY_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1970794,60330194,I5H53_gp010,I5H53_gp010,SEA_KINGSLEY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1970794,60330195,I5H53_gp011,I5H53_gp011,SEA_KINGSLEY_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1970794,60330196,I5H53_gp012,I5H53_gp012,SEA_KINGSLEY_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
1970794,60330197,I5H53_gp013,I5H53_gp013,SEA_KINGSLEY_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1970794,60330198,I5H53_gp015,I5H53_gp015,SEA_KINGSLEY_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
