#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
638660,28218247,ORF111,SERV_ORF111,-,-,-,-,putative myeloid cell leukemia protein,protein-coding,-,-,-,putative myeloid cell leukemia protein,20201220,-
638660,28218248,ORF110,SERV_ORF110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218249,ORF109,SERV_ORF109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218250,ORF108,SERV_ORF108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218251,ORF107,SERV_ORF107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218252,ORF106,SERV_ORF106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218253,ORF105,SERV_ORF105,-,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20201220,-
638660,28218254,ORF104,SERV_ORF104,-,-,-,-,putative integrase-like protein,protein-coding,-,-,-,putative integrase-like protein,20201220,-
638660,28218255,ORF103,SERV_ORF103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218256,ORF102,SERV_ORF102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218257,ORF101,SERV_ORF101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218258,ORF100,SERV_ORF100,-,-,-,-,serine threonine protein kinase,protein-coding,-,-,-,serine threonine protein kinase,20201220,-
638660,28218259,ORF99,SERV_ORF99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218260,ORF98,SERV_ORF98,-,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20201220,-
638660,28218261,ORF97,SERV_ORF97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218262,ORF96,SERV_ORF96,-,-,-,-,putative D5 family NTPase ATPase,protein-coding,-,-,-,putative D5 family NTPase ATPase,20201220,-
638660,28218263,ORF95,SERV_ORF95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218264,ORF94,SERV_ORF94,-,-,-,-,putative SAP domain-containing protein,protein-coding,-,-,-,putative SAP domain-containing protein,20201220,-
638660,28218265,ORF93,SERV_ORF93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218266,ORF92,SERV_ORF92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218267,ORF91,SERV_ORF91,-,-,-,-,neurofilament triplet H1-like protein,protein-coding,-,-,-,neurofilament triplet H1-like protein,20201220,-
638660,28218268,ORF90,SERV_ORF90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218269,ORF89,SERV_ORF89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218270,ORF88,SERV_ORF88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218271,ORF87,SERV_ORF87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218272,ORF86,SERV_ORF86,-,-,-,-,putative hydrolase of the metallo-beta-lactamase superfamily,protein-coding,-,-,-,putative hydrolase of the metallo-beta-lactamase superfamily,20201220,-
638660,28218273,ORF85,SERV_ORF85,-,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20201220,-
638660,28218274,ORF84,SERV_ORF84,-,-,-,-,putative NIF NLI interacting factor,protein-coding,-,-,-,putative NIF NLI interacting factor,20201220,-
638660,28218275,ORF83,SERV_ORF83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218276,ORF82,SERV_ORF82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218277,ORF81,SERV_ORF81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218278,ORF80,SERV_ORF80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
