#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675553,26626973,NHONHO_2,NHONHO_2,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201221,-
1675553,26626974,NHONHO_3,NHONHO_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626975,NHONHO_4,NHONHO_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626976,NHONHO_5,NHONHO_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626977,NHONHO_6,NHONHO_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626978,NHONHO_7,NHONHO_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626979,NHONHO_8,NHONHO_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626980,NHONHO_9,NHONHO_9,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1675553,26626981,NHONHO_10,NHONHO_10,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1675553,26626982,NHONHO_11,NHONHO_11,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1675553,26626983,NHONHO_12,NHONHO_12,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1675553,26626984,NHONHO_13,NHONHO_13,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1675553,26626985,NHONHO_14,NHONHO_14,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1675553,26626986,NHONHO_15,NHONHO_15,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1675553,26626987,NHONHO_16,NHONHO_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626988,NHONHO_17,NHONHO_17,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1675553,26626989,NHONHO_18,NHONHO_18,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1675553,26626990,NHONHO_19,NHONHO_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1675553,26626991,NHONHO_20,NHONHO_20,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1675553,26626992,NHONHO_21,NHONHO_21,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1675553,26626993,NHONHO_23,NHONHO_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1675553,26626994,NHONHO_24,NHONHO_24,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1675553,26626995,NHONHO_22,NHONHO_22,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1675553,26626996,NHONHO_25,NHONHO_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675553,26626997,NHONHO_26,NHONHO_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26626998,NHONHO_27,NHONHO_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675553,26626999,NHONHO_28,NHONHO_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627000,NHONHO_29,NHONHO_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627001,NHONHO_30,NHONHO_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1675553,26627002,NHONHO_31,NHONHO_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675553,26627003,NHONHO_32,NHONHO_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675553,26627004,NHONHO_33,NHONHO_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627005,NHONHO_34,NHONHO_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627006,NHONHO_35,NHONHO_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627007,NHONHO_36,NHONHO_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627008,NHONHO_37,NHONHO_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627009,NHONHO_38,NHONHO_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627010,NHONHO_39,NHONHO_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627011,NHONHO_40,NHONHO_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627012,NHONHO_41,NHONHO_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627013,NHONHO_42,NHONHO_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627014,NHONHO_43,NHONHO_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627015,NHONHO_44,NHONHO_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627016,NHONHO_45,NHONHO_45,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1675553,26627017,NHONHO_46,NHONHO_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627018,NHONHO_47,NHONHO_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627019,NHONHO_48,NHONHO_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627020,NHONHO_49,NHONHO_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627021,NHONHO_50,NHONHO_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
