#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483668,65116931,2,KNU19_gp02,SEA_FOSTEROUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483668,65116932,3,KNU19_gp03,SEA_FOSTEROUS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116933,4,KNU19_gp04,SEA_FOSTEROUS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116934,5,KNU19_gp05,SEA_FOSTEROUS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116935,6,KNU19_gp06,SEA_FOSTEROUS_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116936,7,KNU19_gp07,SEA_FOSTEROUS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116937,8,KNU19_gp08,SEA_FOSTEROUS_8,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2483668,65116938,9,KNU19_gp09,SEA_FOSTEROUS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116939,10,KNU19_gp10,SEA_FOSTEROUS_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2483668,65116940,11,KNU19_gp11,SEA_FOSTEROUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116941,12,KNU19_gp12,SEA_FOSTEROUS_12,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2483668,65116942,13,KNU19_gp13,SEA_FOSTEROUS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116943,14,KNU19_gp14,SEA_FOSTEROUS_14,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2483668,65116944,15,KNU19_gp15,SEA_FOSTEROUS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116945,16,KNU19_gp16,SEA_FOSTEROUS_16,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483668,65116946,17,KNU19_gp17,SEA_FOSTEROUS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116947,18,KNU19_gp18,SEA_FOSTEROUS_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116948,19,KNU19_gp19,SEA_FOSTEROUS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116949,20,KNU19_gp20,SEA_FOSTEROUS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116950,21,KNU19_gp21,SEA_FOSTEROUS_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2483668,65116951,22,KNU19_gp22,SEA_FOSTEROUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116952,23,KNU19_gp23,SEA_FOSTEROUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116953,24,KNU19_gp24,SEA_FOSTEROUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116954,25,KNU19_gp25,SEA_FOSTEROUS_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2483668,65116955,26,KNU19_gp26,SEA_FOSTEROUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116956,27,KNU19_gp27,SEA_FOSTEROUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116957,28,KNU19_gp28,SEA_FOSTEROUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483668,65116958,29,KNU19_gp29,SEA_FOSTEROUS_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2483668,65116959,30,KNU19_gp30,SEA_FOSTEROUS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116960,31,KNU19_gp31,SEA_FOSTEROUS_31,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2483668,65116961,32,KNU19_gp32,SEA_FOSTEROUS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483668,65116962,33,KNU19_gp33,SEA_FOSTEROUS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483668,65116963,34,KNU19_gp34,SEA_FOSTEROUS_34,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2483668,65116964,35,KNU19_gp35,SEA_FOSTEROUS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116965,36,KNU19_gp36,SEA_FOSTEROUS_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483668,65116966,37,KNU19_gp37,SEA_FOSTEROUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116967,38,KNU19_gp38,SEA_FOSTEROUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116968,39,KNU19_gp39,SEA_FOSTEROUS_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
