#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647282,40068980,FDG85_gp02,FDG85_gp02,Shpa_2,-,-,-,terminase small subunit-like protein,protein-coding,-,-,-,terminase small subunit-like protein,20201221,-
1647282,40068981,FDG85_gp03,FDG85_gp03,Shpa_3,-,-,-,terminase large subunit-like protein,protein-coding,-,-,-,terminase large subunit-like protein,20201221,-
1647282,40068982,FDG85_gp04,FDG85_gp04,Shpa_4,-,-,-,portal-like protein,protein-coding,-,-,-,portal-like protein,20201221,-
1647282,40068983,FDG85_gp05,FDG85_gp05,Shpa_5,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20201221,-
1647282,40068984,FDG85_gp06,FDG85_gp06,Shpa_6,-,-,-,major capsid-like protein,protein-coding,-,-,-,major capsid-like protein,20201221,-
1647282,40068985,FDG85_gp07,FDG85_gp07,Shpa_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068986,FDG85_gp08,FDG85_gp08,Shpa_8,-,-,-,DNA packaging-like protein,protein-coding,-,-,-,DNA packaging-like protein,20201221,-
1647282,40068987,FDG85_gp09,FDG85_gp09,Shpa_9,-,-,-,putative head-tail adaptor,protein-coding,-,-,-,putative head-tail adaptor,20201221,-
1647282,40068988,FDG85_gp10,FDG85_gp10,Shpa_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068989,FDG85_gp11,FDG85_gp11,Shpa_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068990,FDG85_gp12,FDG85_gp12,Shpa_12,-,-,-,outer capsid-like protein,protein-coding,-,-,-,outer capsid-like protein,20201221,-
1647282,40068991,FDG85_gp13,FDG85_gp13,Shpa_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068992,FDG85_gp14,FDG85_gp14,Shpa_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068993,FDG85_gp15,FDG85_gp15,Shpa_15,-,-,-,tail tape measure-like protein,protein-coding,-,-,-,tail tape measure-like protein,20201221,-
1647282,40068994,FDG85_gp16,FDG85_gp16,Shpa_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068995,FDG85_gp17,FDG85_gp17,Shpa_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068996,FDG85_gp18,FDG85_gp18,Shpa_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068997,FDG85_gp19,FDG85_gp19,Shpa_19,-,-,-,tail-like protein,protein-coding,-,-,-,tail-like protein,20201221,-
1647282,40068998,FDG85_gp20,FDG85_gp20,Shpa_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40068999,FDG85_gp21,FDG85_gp21,Shpa_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069000,FDG85_gp22,FDG85_gp22,Shpa_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069001,FDG85_gp23,FDG85_gp23,Shpa_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069002,FDG85_gp24,FDG85_gp24,Shpa_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069003,FDG85_gp25,FDG85_gp25,Shpa_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069004,FDG85_gp26,FDG85_gp26,Shpa_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069005,FDG85_gp27,FDG85_gp27,Shpa_27,-,-,-,lysozyme-like protein,protein-coding,-,-,-,lysozyme-like protein,20201221,-
1647282,40069006,FDG85_gp28,FDG85_gp28,Shpa_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069007,FDG85_gp29,FDG85_gp29,Shpa_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069008,FDG85_gp30,FDG85_gp30,Shpa_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069009,FDG85_gp31,FDG85_gp31,Shpa_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069010,FDG85_gp32,FDG85_gp32,Shpa_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069011,FDG85_gp33,FDG85_gp33,Shpa_33,-,-,-,partitioning protein-like protein,protein-coding,-,-,-,partitioning protein-like protein,20201221,-
1647282,40069012,FDG85_gp34,FDG85_gp34,Shpa_34,-,-,-,restriction endonuclease-like,protein-coding,-,-,-,restriction endonuclease-like,20201221,-
1647282,40069013,FDG85_gp35,FDG85_gp35,Shpa_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069014,FDG85_gp36,FDG85_gp36,Shpa_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069015,FDG85_gp37,FDG85_gp37,Shpa_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069016,FDG85_gp38,FDG85_gp38,Shpa_38,-,-,-,single-stranded DNA-binding-like protein,protein-coding,-,-,-,single-stranded DNA-binding-like protein,20201221,-
1647282,40069017,FDG85_gp39,FDG85_gp39,Shpa_39,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
1647282,40069018,FDG85_gp40,FDG85_gp40,Shpa_40,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201221,-
1647282,40069019,FDG85_gp41,FDG85_gp41,Shpa_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069020,FDG85_gp42,FDG85_gp42,Shpa_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069021,FDG85_gp43,FDG85_gp43,Shpa_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069022,FDG85_gp44,FDG85_gp44,Shpa_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069023,FDG85_gp45,FDG85_gp45,Shpa_45,-,-,-,DEAD/DEAH box helicase-like protein,protein-coding,-,-,-,DEAD/DEAH box helicase-like protein,20201221,-
1647282,40069024,FDG85_gp46,FDG85_gp46,Shpa_46,-,-,-,primase-like protein,protein-coding,-,-,-,primase-like protein,20201221,-
1647282,40069025,FDG85_gp47,FDG85_gp47,Shpa_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069026,FDG85_gp48,FDG85_gp48,Shpa_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069027,FDG85_gp49,FDG85_gp49,Shpa_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069028,FDG85_gp50,FDG85_gp50,Shpa_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069029,FDG85_gp51,FDG85_gp51,Shpa_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069030,FDG85_gp52,FDG85_gp52,Shpa_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069031,FDG85_gp53,FDG85_gp53,Shpa_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069032,FDG85_gp54,FDG85_gp54,Shpa_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069033,FDG85_gp55,FDG85_gp55,Shpa_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069034,FDG85_gp56,FDG85_gp56,Shpa_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40069035,FDG85_gp01,FDG85_gp01,Shpa_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647282,40120192,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
