#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582156,26646839,PHIMMP01_20003,PHIMMP01_20003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
1582156,26646840,PHIMMP01_20004,PHIMMP01_20004,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1582156,26646841,PHIMMP01_20005,PHIMMP01_20005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646842,PHIMMP01_20006,PHIMMP01_20006,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210129,-
1582156,26646843,PHIMMP01_20007,PHIMMP01_20007,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1582156,26646844,PHIMMP01_20008,PHIMMP01_20008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646845,PHIMMP01_20009,PHIMMP01_20009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646846,PHIMMP01_20010,PHIMMP01_20010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646847,PHIMMP01_20011,PHIMMP01_20011,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210129,-
1582156,26646848,PHIMMP01_20012,PHIMMP01_20012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646849,PHIMMP01_20013,PHIMMP01_20013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646850,PHIMMP01_20014,PHIMMP01_20014,-,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20201221,-
1582156,26646851,PHIMMP01_20015,PHIMMP01_20015,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210129,-
1582156,26646852,PHIMMP01_20016,PHIMMP01_20016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646853,PHIMMP01_20017,PHIMMP01_20017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1582156,26646854,PHIMMP01_20018,PHIMMP01_20018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646855,PHIMMP01_20019,PHIMMP01_20019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646856,PHIMMP01_20020,PHIMMP01_20020,-,-,-,-,DUF4352 domain-containing protein,protein-coding,-,-,-,DUF4352 domain-containing protein,20210129,-
1582156,26646857,PHIMMP01_20021,PHIMMP01_20021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646858,PHIMMP01_20022,PHIMMP01_20022,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1582156,26646859,PHIMMP01_20023,PHIMMP01_20023,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201221,-
1582156,26646860,PHIMMP01_20024,PHIMMP01_20024,-,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20210212,-
1582156,26646861,PHIMMP01_20025,PHIMMP01_20025,-,-,-,-,DUF2577 domain-containing protein,protein-coding,-,-,-,DUF2577 domain-containing protein,20201221,-
1582156,26646862,PHIMMP01_20026,PHIMMP01_20026,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20201221,-
1582156,26646863,PHIMMP01_20027,PHIMMP01_20027,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20201221,-
1582156,26646864,PHIMMP01_20028,PHIMMP01_20028,-,-,-,-,YmfQ family protein,protein-coding,-,-,-,YmfQ family protein,20201221,-
1582156,26646865,PHIMMP01_20029,PHIMMP01_20029,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1582156,26646866,PHIMMP01_20030,PHIMMP01_20030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646867,PHIMMP01_20031,PHIMMP01_20031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646868,PHIMMP01_20032,PHIMMP01_20032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646869,PHIMMP01_20033,PHIMMP01_20033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646870,PHIMMP01_20034,PHIMMP01_20034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646871,PHIMMP01_20035,PHIMMP01_20035,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210403,-
1582156,26646872,PHIMMP01_20036,PHIMMP01_20036,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
