#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027256,55808205,HYP46_gp02,HYP46_gp02,LP9609_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027256,55808206,HYP46_gp03,HYP46_gp03,LP9609_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2027256,55808207,HYP46_gp04,HYP46_gp04,LP9609_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027256,55808208,HYP46_gp05,HYP46_gp05,LP9609_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2027256,55808209,HYP46_gp06,HYP46_gp06,LP9609_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027256,55808210,HYP46_gp07,HYP46_gp07,LP9609_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808211,HYP46_gp08,HYP46_gp08,LP9609_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808212,HYP46_gp09,HYP46_gp09,LP9609_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808213,HYP46_gp10,HYP46_gp10,LP9609_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808214,HYP46_gp11,HYP46_gp11,LP9609_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027256,55808215,HYP46_gp12,HYP46_gp12,LP9609_13,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2027256,55808216,HYP46_gp14,HYP46_gp14,LP9609_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808217,HYP46_gp13,HYP46_gp13,LP9609_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2027256,55808218,HYP46_gp15,HYP46_gp15,LP9609_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808219,HYP46_gp16,HYP46_gp16,LP9609_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027256,55808220,HYP46_gp17,HYP46_gp17,LP9609_17,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2027256,55808221,HYP46_gp18,HYP46_gp18,LP9609_18,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2027256,55808222,HYP46_gp19,HYP46_gp19,LP9609_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808223,HYP46_gp20,HYP46_gp20,LP9609_20,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210424,-
2027256,55808224,HYP46_gp21,HYP46_gp21,LP9609_21,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2027256,55808225,HYP46_gp22,HYP46_gp22,LP9609_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2027256,55808226,HYP46_gp23,HYP46_gp23,LP9609_23,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20210515,-
2027256,55808227,HYP46_gp24,HYP46_gp24,LP9609_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808228,HYP46_gp25,HYP46_gp25,LP9609_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808229,HYP46_gp26,HYP46_gp26,LP9609_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808230,HYP46_gp27,HYP46_gp27,LP9609_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808231,HYP46_gp28,HYP46_gp28,LP9609_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808232,HYP46_gp29,HYP46_gp29,LP9609_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027256,55808233,HYP46_gp30,HYP46_gp30,LP9609_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808234,HYP46_gp31,HYP46_gp31,LP9609_31,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2027256,55808235,HYP46_gp32,HYP46_gp32,LP9609_32,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2027256,55808236,HYP46_gp33,HYP46_gp33,LP9609_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808237,HYP46_gp34,HYP46_gp34,LP9609_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808238,HYP46_gp35,HYP46_gp35,LP9609_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808239,HYP46_gp36,HYP46_gp36,LP9609_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200704,-
2027256,55808240,HYP46_gp37,HYP46_gp37,LP9609_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808241,HYP46_gp38,HYP46_gp38,LP9609_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808242,HYP46_gp39,HYP46_gp39,LP9609_39,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210424,-
