#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588099,64410070,KE336_gp02,KE336_gp02,4D05_002,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210429,-
2588099,64410071,KE336_gp03,KE336_gp03,4D05_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410072,KE336_gp04,KE336_gp04,4D05_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410073,KE336_gp05,KE336_gp05,4D05_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410074,KE336_gp06,KE336_gp06,4D05_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410075,KE336_gp07,KE336_gp07,4D05_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410076,KE336_gp08,KE336_gp08,4D05_008,-,-,-,adenine methylase,protein-coding,-,-,-,adenine methylase,20210429,-
2588099,64410077,KE336_gp09,KE336_gp09,4D05_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410078,KE336_gp10,KE336_gp10,4D05_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410079,KE336_gp11,KE336_gp11,4D05_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410080,KE336_gp12,KE336_gp12,4D05_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410081,KE336_gp13,KE336_gp13,4D05_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410082,KE336_gp14,KE336_gp14,4D05_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410083,KE336_gp15,KE336_gp15,4D05_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410084,KE336_gp16,KE336_gp16,4D05_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410085,KE336_gp17,KE336_gp17,4D05_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410086,KE336_gp18,KE336_gp18,4D05_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410087,KE336_gp19,KE336_gp19,4D05_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410088,KE336_gp20,KE336_gp20,4D05_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410089,KE336_gp21,KE336_gp21,4D05_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410090,KE336_gp22,KE336_gp22,4D05_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410091,KE336_gp23,KE336_gp23,4D05_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410092,KE336_gp24,KE336_gp24,4D05_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410093,KE336_gp25,KE336_gp25,4D05_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410094,KE336_gp26,KE336_gp26,4D05_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410095,KE336_gp27,KE336_gp27,4D05_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410096,KE336_gp28,KE336_gp28,4D05_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410097,KE336_gp29,KE336_gp29,4D05_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
