#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1076631,40080684,2,FDH94_gp02,SEA_JEBEKS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1076631,40080685,3,FDH94_gp03,SEA_JEBEKS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1076631,40080686,4,FDH94_gp04,SEA_JEBEKS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1076631,40080687,5,FDH94_gp05,SEA_JEBEKS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
1076631,40080688,6,FDH94_gp06,SEA_JEBEKS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1076631,40080689,7,FDH94_gp07,SEA_JEBEKS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080690,8,FDH94_gp08,SEA_JEBEKS_8,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201220,-
1076631,40080691,9,FDH94_gp09,SEA_JEBEKS_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201220,-
1076631,40080692,10,FDH94_gp10,SEA_JEBEKS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1076631,40080693,11,FDH94_gp11,SEA_JEBEKS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080694,12,FDH94_gp12,SEA_JEBEKS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080695,13,FDH94_gp13,SEA_JEBEKS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080696,14,FDH94_gp14,SEA_JEBEKS_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1076631,40080697,16,FDH94_gp15,SEA_JEBEKS_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1076631,40080698,17,FDH94_gp17,SEA_JEBEKS_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1076631,40080699,15,FDH94_gp16,SEA_JEBEKS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1076631,40080700,18,FDH94_gp18,SEA_JEBEKS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1076631,40080701,19,FDH94_gp19,SEA_JEBEKS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1076631,40080702,20,FDH94_gp20,SEA_JEBEKS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1076631,40080703,21,FDH94_gp21,SEA_JEBEKS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1076631,40080704,22,FDH94_gp22,SEA_JEBEKS_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1076631,40080705,23,FDH94_gp23,SEA_JEBEKS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080706,24,FDH94_gp24,SEA_JEBEKS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
