#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041512,40092227,FDI74_gp02,FDI74_gp02,SEA_LENNON_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2041512,40092228,FDI74_gp03,FDI74_gp03,SEA_LENNON_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092229,FDI74_gp04,FDI74_gp04,SEA_LENNON_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2041512,40092230,FDI74_gp05,FDI74_gp05,SEA_LENNON_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092231,FDI74_gp06,FDI74_gp06,SEA_LENNON_6,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2041512,40092232,FDI74_gp07,FDI74_gp07,SEA_LENNON_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092233,FDI74_gp08,FDI74_gp08,SEA_LENNON_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092234,FDI74_gp09,FDI74_gp09,SEA_LENNON_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092235,FDI74_gp10,FDI74_gp10,SEA_LENNON_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20201221,-
2041512,40092236,FDI74_gp11,FDI74_gp11,SEA_LENNON_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092237,FDI74_gp12,FDI74_gp12,SEA_LENNON_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092238,FDI74_gp13,FDI74_gp13,SEA_LENNON_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2041512,40092239,FDI74_gp14,FDI74_gp14,SEA_LENNON_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092240,FDI74_gp15,FDI74_gp15,SEA_LENNON_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092241,FDI74_gp16,FDI74_gp16,SEA_LENNON_16,-,-,-,capsid morphogenesis protein,protein-coding,-,-,-,capsid morphogenesis protein,20201221,-
2041512,40092242,FDI74_gp17,FDI74_gp17,SEA_LENNON_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092243,FDI74_gp18,FDI74_gp18,SEA_LENNON_18,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2041512,40092244,FDI74_gp19,FDI74_gp19,SEA_LENNON_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092245,FDI74_gp20,FDI74_gp20,SEA_LENNON_20,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2041512,40092246,FDI74_gp21,FDI74_gp21,SEA_LENNON_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092247,FDI74_gp22,FDI74_gp22,SEA_LENNON_22,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2041512,40092248,FDI74_gp23,FDI74_gp23,SEA_LENNON_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092249,FDI74_gp24,FDI74_gp24,SEA_LENNON_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092250,FDI74_gp25,FDI74_gp25,SEA_LENNON_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2041512,40092251,FDI74_gp26,FDI74_gp26,SEA_LENNON_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092252,FDI74_gp27,FDI74_gp27,SEA_LENNON_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2041512,40092253,FDI74_gp28,FDI74_gp28,SEA_LENNON_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092254,FDI74_gp29,FDI74_gp29,SEA_LENNON_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092255,FDI74_gp30,FDI74_gp30,SEA_LENNON_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092256,FDI74_gp31,FDI74_gp31,SEA_LENNON_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
