#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015815,40086030,2,FDI26_gp02,SEA_BEANS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2015815,40086031,3,FDI26_gp03,SEA_BEANS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086032,4,FDI26_gp04,SEA_BEANS_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2015815,40086033,5,FDI26_gp05,SEA_BEANS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086034,6,FDI26_gp06,SEA_BEANS_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2015815,40086035,7,FDI26_gp07,SEA_BEANS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086036,8,FDI26_gp08,SEA_BEANS_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2015815,40086037,9,FDI26_gp09,SEA_BEANS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086038,10,FDI26_gp10,SEA_BEANS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086039,11,FDI26_gp11,SEA_BEANS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086040,12,FDI26_gp12,SEA_BEANS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086041,13,FDI26_gp13,SEA_BEANS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086042,14,FDI26_gp14,SEA_BEANS_14,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
2015815,40086043,15,FDI26_gp15,SEA_BEANS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086044,16,FDI26_gp16,SEA_BEANS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086045,17,FDI26_gp17,SEA_BEANS_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2015815,40086046,19,FDI26_gp19,SEA_BEANS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2015815,40086047,20,FDI26_gp20,SEA_BEANS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086048,21,FDI26_gp21,SEA_BEANS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2015815,40086049,22,FDI26_gp22,SEA_BEANS_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2015815,40086050,25,FDI26_gp25,SEA_BEANS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086051,26,FDI26_gp26,SEA_BEANS_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
2015815,40086052,27,FDI26_gp27,SEA_BEANS_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2015815,40086053,28,FDI26_gp28,SEA_BEANS_28,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201221,-
2015815,40086054,29,FDI26_gp29,SEA_BEANS_29,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
2015815,40086055,30,FDI26_gp30,SEA_BEANS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086056,31,FDI26_gp31,SEA_BEANS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086057,32,FDI26_gp32,SEA_BEANS_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2015815,40086058,33,FDI26_gp33,SEA_BEANS_33,-,-,-,RecT-like recombinase,protein-coding,-,-,-,RecT-like recombinase,20201221,-
2015815,40086059,34,FDI26_gp34,SEA_BEANS_34,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2015815,40086060,36,FDI26_gp36,SEA_BEANS_36,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
