#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163886,54991260,HOT13_gp02,HOT13_gp02,-,-,-,-,putative major head subunit precursor,protein-coding,-,-,-,putative major head subunit precursor,20210403,-
2163886,54991261,HOT13_gp03,HOT13_gp03,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210327,-
2163886,54991262,HOT13_gp04,HOT13_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2163886,54991263,HOT13_gp05,HOT13_gp05,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2163886,54991264,HOT13_gp06,HOT13_gp06,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210327,-
2163886,54991265,HOT13_gp07,HOT13_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991266,HOT13_gp08,HOT13_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991267,HOT13_gp09,HOT13_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991268,HOT13_gp10,HOT13_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991269,HOT13_gp11,HOT13_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991270,HOT13_gp12,HOT13_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991271,HOT13_gp13,HOT13_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991272,HOT13_gp14,HOT13_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991273,HOT13_gp15,HOT13_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
