#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2488980,60335083,2,I5I00_gp002,ZERG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2488980,60335084,3,I5I00_gp003,ZERG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2488980,60335085,4,I5I00_gp004,ZERG_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2488980,60335086,5,I5I00_gp005,ZERG_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2488980,60335087,6,I5I00_gp006,ZERG_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2488980,60335088,7,I5I00_gp007,ZERG_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2488980,60335089,8,I5I00_gp008,ZERG_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2488980,60335090,9,I5I00_gp009,ZERG_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2488980,60335091,10,I5I00_gp010,ZERG_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2488980,60335092,11,I5I00_gp011,ZERG_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2488980,60335093,13,I5I00_gp012,ZERG_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2488980,60335094,14,I5I00_gp014,ZERG_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2488980,60335095,12,I5I00_gp013,ZERG_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2488980,60335096,15,I5I00_gp015,ZERG_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335097,16,I5I00_gp016,ZERG_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335098,17,I5I00_gp017,ZERG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335099,18,I5I00_gp018,ZERG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335100,19,I5I00_gp019,ZERG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2488980,60335101,20,I5I00_gp020,ZERG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2488980,60335102,21,I5I00_gp021,ZERG_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335103,22,I5I00_gp022,ZERG_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335104,23,I5I00_gp023,ZERG_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335105,24,I5I00_gp024,ZERG_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2488980,60335106,25,I5I00_gp025,ZERG_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2488980,60335107,26,I5I00_gp026,ZERG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335108,27,I5I00_gp027,ZERG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335109,28,I5I00_gp028,ZERG_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335110,29,I5I00_gp029,ZERG_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335111,30,I5I00_gp030,ZERG_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210406,-
2488980,60335112,31,I5I00_gp031,ZERG_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2488980,60335113,32,I5I00_gp032,ZERG_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2488980,60335114,33,I5I00_gp033,ZERG_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2488980,60335115,34,I5I00_gp034,ZERG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335116,35,I5I00_gp035,ZERG_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210406,-
2488980,60335117,36,I5I00_gp036,ZERG_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335118,37,I5I00_gp037,ZERG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335119,38,I5I00_gp038,ZERG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335120,39,I5I00_gp039,ZERG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335121,40,I5I00_gp040,ZERG_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2488980,60335122,41,I5I00_gp041,ZERG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335123,42,I5I00_gp042,ZERG_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210406,-
2488980,60335124,43,I5I00_gp043,ZERG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335125,44,I5I00_gp044,ZERG_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2488980,60335126,45,I5I00_gp045,ZERG_45,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
