#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1283078,14697486,I901_gp02,I901_gp02,-,-,-,-,peptidase M,protein-coding,-,-,-,peptidase M,20201221,-
1283078,14697487,I901_gp03,I901_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697488,I901_gp04,I901_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697489,I901_gp05,I901_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697490,I901_gp06,I901_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697491,I901_gp07,I901_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697492,I901_gp08,I901_gp08,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1283078,14697493,I901_gp09,I901_gp09,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201221,-
1283078,14697494,I901_gp10,I901_gp10,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1283078,14697495,I901_gp11,I901_gp11,-,-,-,-,endodeoxyribonuclease I,protein-coding,-,-,-,endodeoxyribonuclease I,20201221,-
1283078,14697496,I901_gp12,I901_gp12,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1283078,14697497,I901_gp13,I901_gp13,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1283078,14697498,I901_gp14,I901_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697499,I901_gp15,I901_gp15,-,-,-,-,DNA polymerase family A,protein-coding,-,-,-,DNA polymerase family A,20201221,-
1283078,14697500,I901_gp16,I901_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697501,I901_gp17,I901_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697502,I901_gp18,I901_gp18,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1283078,14697503,I901_gp19,I901_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697504,I901_gp20,I901_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697505,I901_gp21,I901_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697506,I901_gp22,I901_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697507,I901_gp23,I901_gp23,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1283078,14697508,I901_gp24,I901_gp24,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1283078,14697509,I901_gp25,I901_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697510,I901_gp26,I901_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697511,I901_gp27,I901_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697512,I901_gp28,I901_gp28,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1283078,14697513,I901_gp29,I901_gp29,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201221,-
1283078,14697514,I901_gp30,I901_gp30,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
1283078,14697515,I901_gp31,I901_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697516,I901_gp32,I901_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697517,I901_gp33,I901_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697518,I901_gp34,I901_gp34,-,-,-,-,internal virion protein D,protein-coding,-,-,-,internal virion protein D,20201221,-
1283078,14697519,I901_gp35,I901_gp35,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1283078,14697520,I901_gp36,I901_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697521,I901_gp37,I901_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697522,I901_gp38,I901_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697523,I901_gp39,I901_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697524,I901_gp40,I901_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697525,I901_gp41,I901_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697526,I901_gp42,I901_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697527,I901_gp43,I901_gp43,-,-,-,-,DNA maturase A,protein-coding,-,-,-,DNA maturase A,20201221,-
1283078,14697528,I901_gp44,I901_gp44,-,-,-,-,DNA maturase B,protein-coding,-,-,-,DNA maturase B,20201221,-
1283078,14697529,I901_gp45,I901_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14697530,I901_gp01,I901_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1283078,14723683,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candidatus Pelagibacter ubique HTCC1062 phage HTVC011P).,other,-,-,-,-,20200516,-
