#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2184265,55632127,HWA82_gp001,HWA82_gp001,E0157_001,-,-,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20200620,-
2184265,55632128,HWA82_gp002,HWA82_gp002,E0157_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632129,HWA82_gp003,HWA82_gp003,E0157_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632130,HWA82_gp004,HWA82_gp004,E0157_004,-,-,-,DNA transfer protein A1,protein-coding,-,-,-,DNA transfer protein A1,20200620,-
2184265,55632131,HWA82_gp005,HWA82_gp005,E0157_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2184265,55632132,HWA82_gp006,HWA82_gp006,E0157_006,-,-,-,DNA binding protein A2,protein-coding,-,-,-,DNA binding protein A2,20200620,-
2184265,55632133,HWA82_gp007,HWA82_gp007,E0157_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632134,HWA82_gp008,HWA82_gp008,E0157_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632135,HWA82_gp009,HWA82_gp009,E0157_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632136,HWA82_gp010,HWA82_gp010,E0157_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632137,HWA82_gp011,HWA82_gp011,E0157_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632138,HWA82_gp012,HWA82_gp012,E0157_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632139,HWA82_gp013,HWA82_gp013,E0157_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632140,HWA82_gp014,HWA82_gp014,E0157_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632141,HWA82_gp015,HWA82_gp015,E0157_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632142,HWA82_gp016,HWA82_gp016,E0157_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632143,HWA82_gp017,HWA82_gp017,E0157_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632144,HWA82_gp018,HWA82_gp018,E0157_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632145,HWA82_gp019,HWA82_gp019,E0157_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632146,HWA82_gp020,HWA82_gp020,E0157_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632147,HWA82_gp021,HWA82_gp021,E0157_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632148,HWA82_gp022,HWA82_gp022,E0157_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632149,HWA82_gp023,HWA82_gp023,E0157_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632150,HWA82_gp024,HWA82_gp024,E0157_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632151,HWA82_gp025,HWA82_gp025,E0157_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632152,HWA82_gp026,HWA82_gp026,E0157_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632153,HWA82_gp027,HWA82_gp027,E0157_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632154,HWA82_gp028,HWA82_gp028,E0157_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632155,HWA82_gp029,HWA82_gp029,E0157_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632156,HWA82_gp030,HWA82_gp030,E0157_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632157,HWA82_gp031,HWA82_gp031,E0157_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632158,HWA82_gp032,HWA82_gp032,E0157_032,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210424,-
2184265,55632159,HWA82_gp033,HWA82_gp033,E0157_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632160,HWA82_gp034,HWA82_gp034,E0157_034,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210424,-
2184265,55632161,HWA82_gp035,HWA82_gp035,E0157_035,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2184265,55632162,HWA82_gp036,HWA82_gp036,E0157_036,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20210424,-
