#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094327,33352419,ND4L,CGU65_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
1094327,33352420,CGU65_mgt03,CGU65_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352421,ATP6,CGU65_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
1094327,33352422,CGU65_mgt08,CGU65_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352423,CGU65_mgt11,CGU65_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352424,CGU65_mgt15,CGU65_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352425,CGU65_mgt16,CGU65_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352426,COX1,CGU65_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
1094327,33352427,CGU65_mgt17,CGU65_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352428,CGU65_mgt21,CGU65_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352429,ND5,CGU65_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
1094327,33352430,CGU65_mgt22,CGU65_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352431,CGU65_mgt01,CGU65_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352432,CGU65_mgt02,CGU65_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352433,ND6,CGU65_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
1094327,33352434,CGU65_mgt04,CGU65_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352435,CGU65_mgr02,CGU65_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094327,33352436,CGU65_mgt05,CGU65_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352437,CGU65_mgt06,CGU65_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352438,CGU65_mgt07,CGU65_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352439,ND1,CGU65_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
1094327,33352440,CGU65_mgt09,CGU65_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352441,CGU65_mgt10,CGU65_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352442,ND2,CGU65_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
1094327,33352443,CGU65_mgt12,CGU65_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352444,CGU65_mgt13,CGU65_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352445,CGU65_mgt14,CGU65_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352446,CYTB,CGU65_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
1094327,33352447,COX3,CGU65_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
1094327,33352448,ND4,CGU65_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
1094327,33352449,CGU65_mgt18,CGU65_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352450,CGU65_mgt19,CGU65_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352451,CGU65_mgt20,CGU65_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094327,33352452,COX2,CGU65_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
1094327,33352453,CGU65_mgr01,CGU65_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094327,33352454,ND3,CGU65_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
