#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1079999,14005267,F364_gp002,F364_gp002,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20201220,-
1079999,14005268,F364_gp003,F364_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005269,F364_gp004,F364_gp004,-,-,-,-,HN hemagglutinin domain protein,protein-coding,-,-,-,HN hemagglutinin domain protein,20201220,-
1079999,14005270,F364_gp005,F364_gp005,-,-,-,-,gp53 base plate wedge component,protein-coding,-,-,-,gp53 base plate wedge component,20201220,-
1079999,14005271,F364_gp006,F364_gp006,-,-,-,-,gp48 baseplate tail tube cap protein,protein-coding,-,-,-,gp48 baseplate tail tube cap protein,20201220,-
1079999,14005272,F364_gp007,F364_gp007,-,-,-,-,T4-like baseplate tail tube cap protein,protein-coding,-,-,-,T4-like baseplate tail tube cap protein,20201220,-
1079999,14005273,F364_gp008,F364_gp008,-,-,-,-,T4-like baseplate tail tube cap protein,protein-coding,-,-,-,T4-like baseplate tail tube cap protein,20201220,-
1079999,14005274,F364_gp009,F364_gp009,-,-,-,-,gp4 head completion protein,protein-coding,-,-,-,gp4 head completion protein,20201220,-
1079999,14005275,F364_gp010,F364_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005276,F364_gp011,F364_gp011,-,-,-,-,gp26 baseplate hub subunit,protein-coding,-,-,-,gp26 baseplate hub subunit,20201220,-
1079999,14005277,F364_gp012,F364_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005278,F364_gp013,F364_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005279,F364_gp014,F364_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005280,F364_gp015,F364_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005281,F364_gp016,F364_gp016,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20201220,-
1079999,14005282,F364_gp017,F364_gp017,-,-,-,-,CpeT antenna protein,protein-coding,-,-,-,CpeT antenna protein,20201220,-
1079999,14005283,F364_gp018,F364_gp018,-,-,-,-,gp5 baseplate hub + tail lysozyme,protein-coding,-,-,-,gp5 baseplate hub + tail lysozyme,20201220,-
1079999,14005284,F364_gp019,F364_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005285,F364_gp020,F364_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005286,F364_gp021,F364_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005287,F364_gp022,F364_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005288,F364_gp023,F364_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005289,F364_gp024,F364_gp024,-,-,-,-,PurM phosphoribosylaminoimidazole,protein-coding,-,-,-,PurM phosphoribosylaminoimidazole,20201220,-
1079999,14005290,F364_gp025,F364_gp025,-,-,-,-,PurM phosphoribosylaminoimidazole,protein-coding,-,-,-,PurM phosphoribosylaminoimidazole,20201220,-
1079999,14005291,F364_gp026,F364_gp026,-,-,-,-,YadA domain protein,protein-coding,-,-,-,YadA domain protein,20201220,-
1079999,14005292,F364_gp027,F364_gp027,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1079999,14005293,F364_gp028,F364_gp028,-,-,-,-,phage tail fiber-like protein,protein-coding,-,-,-,phage tail fiber-like protein,20201220,-
1079999,14005294,F364_gp029,F364_gp029,-,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20201220,-
1079999,14005295,F364_gp030,F364_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005296,F364_gp031,F364_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005297,F364_gp032,F364_gp032,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201220,-
1079999,14005298,F364_gp033,F364_gp033,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201220,-
1079999,14005299,F364_gp034,F364_gp034,-,-,-,-,phage tail fiber-like protein,protein-coding,-,-,-,phage tail fiber-like protein,20201220,-
1079999,14005300,F364_gp035,F364_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005301,F364_gp036,F364_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005302,F364_gp037,F364_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005303,F364_gp038,F364_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005304,F364_gp039,F364_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005305,F364_gp040,F364_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005306,F364_gp041,F364_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005307,F364_gp042,F364_gp042,-,-,-,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20201220,-
1079999,14005308,F364_gp043,F364_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005309,F364_gp044,F364_gp044,-,-,-,-,hypothetical protein Glov_0511,protein-coding,-,-,-,hypothetical protein Glov_0511,20201220,-
1079999,14005310,F364_gp045,F364_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005311,F364_gp046,F364_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005312,F364_gp047,F364_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005313,F364_gp048,F364_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005314,F364_gp049,F364_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005315,F364_gp050,F364_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
