#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015844,63209389,2,J4T96_gp002,SEA_FINEMLUCIS_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210322,-
2015844,63209390,3,J4T96_gp003,SEA_FINEMLUCIS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209391,4,J4T96_gp004,SEA_FINEMLUCIS_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210322,-
2015844,63209392,5,J4T96_gp005,SEA_FINEMLUCIS_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210322,-
2015844,63209393,6,J4T96_gp006,SEA_FINEMLUCIS_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210322,-
2015844,63209394,7,J4T96_gp007,SEA_FINEMLUCIS_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210322,-
2015844,63209395,8,J4T96_gp008,SEA_FINEMLUCIS_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210322,-
2015844,63209396,9,J4T96_gp009,SEA_FINEMLUCIS_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210322,-
2015844,63209397,10,J4T96_gp010,SEA_FINEMLUCIS_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210322,-
2015844,63209398,11,J4T96_gp011,SEA_FINEMLUCIS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015844,63209399,12,J4T96_gp012,SEA_FINEMLUCIS_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210322,-
2015844,63209400,13,J4T96_gp013,SEA_FINEMLUCIS_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210322,-
