#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1868595,55600808,HWA98_gp02,HWA98_gp02,CDKM15_2,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
1868595,55600809,HWA98_gp03,HWA98_gp03,CDKM15_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1868595,55600810,HWA98_gp04,HWA98_gp04,CDKM15_4,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200620,-
1868595,55600811,HWA98_gp05,HWA98_gp05,CDKM15_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600812,HWA98_gp06,HWA98_gp06,CDKM15_6,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20210529,-
1868595,55600813,HWA98_gp07,HWA98_gp07,CDKM15_7,-,-,-,aspartate ammonia-lyase,protein-coding,-,-,-,aspartate ammonia-lyase,20201221,-
1868595,55600814,HWA98_gp08,HWA98_gp08,CDKM15_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600815,HWA98_gp09,HWA98_gp09,CDKM15_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600816,HWA98_gp10,HWA98_gp10,CDKM15_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600817,HWA98_gp11,HWA98_gp11,CDKM15_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600818,HWA98_gp12,HWA98_gp12,CDKM15_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600819,HWA98_gp13,HWA98_gp13,CDKM15_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600820,HWA98_gp14,HWA98_gp14,CDKM15_14,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20210424,-
1868595,55600821,HWA98_gp15,HWA98_gp15,CDKM15_15,-,-,-,XkdM-related protein,protein-coding,-,-,-,XkdM-related protein,20210424,-
1868595,55600822,HWA98_gp16,HWA98_gp16,CDKM15_16,-,-,-,XkdN-related protein,protein-coding,-,-,-,XkdN-related protein,20210424,-
1868595,55600823,HWA98_gp17,HWA98_gp17,CDKM15_17,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210424,-
1868595,55600824,HWA98_gp18,HWA98_gp18,CDKM15_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600825,HWA98_gp19,HWA98_gp19,CDKM15_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1868595,55600826,HWA98_gp20,HWA98_gp20,CDKM15_20,-,-,-,Bro-N domain-containing protein,protein-coding,-,-,-,Bro-N domain-containing protein,20201221,-
1868595,55600827,HWA98_gp21,HWA98_gp21,CDKM15_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600828,HWA98_gp22,HWA98_gp22,CDKM15_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600829,HWA98_gp23,HWA98_gp23,CDKM15_23,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20210424,-
1868595,55600830,HWA98_gp24,HWA98_gp24,CDKM15_24,-,-,-,XkdQ,protein-coding,-,-,-,XkdQ,20201221,-
1868595,55600831,HWA98_gp25,HWA98_gp25,CDKM15_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600832,HWA98_gp26,HWA98_gp26,CDKM15_26,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210529,-
1868595,55600833,HWA98_gp27,HWA98_gp27,CDKM15_27,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20210212,-
1868595,55600834,HWA98_gp28,HWA98_gp28,CDKM15_28,-,-,-,YmfQ family protein,protein-coding,-,-,-,YmfQ family protein,20210212,-
1868595,55600835,HWA98_gp29,HWA98_gp29,CDKM15_29,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210212,-
1868595,55600836,HWA98_gp30,HWA98_gp30,CDKM15_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600837,HWA98_gp31,HWA98_gp31,CDKM15_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600838,HWA98_gp32,HWA98_gp32,CDKM15_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600839,HWA98_gp33,HWA98_gp33,CDKM15_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600840,HWA98_gp34,HWA98_gp34,CDKM15_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600841,HWA98_gp35,HWA98_gp35,CDKM15_35,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20210529,-
1868595,55600842,HWA98_gp36,HWA98_gp36,CDKM15_36,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210529,-
1868595,55600843,HWA98_gp37,HWA98_gp37,CDKM15_37,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200801,-
1868595,55600844,HWA98_gp38,HWA98_gp38,CDKM15_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600845,HWA98_gp39,HWA98_gp39,CDKM15_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600846,HWA98_gp40,HWA98_gp40,CDKM15_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600847,HWA98_gp41,HWA98_gp41,CDKM15_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600848,HWA98_gp42,HWA98_gp42,CDKM15_42,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1868595,55600849,HWA98_gp43,HWA98_gp43,CDKM15_43,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1868595,55600850,HWA98_gp44,HWA98_gp44,CDKM15_44,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210212,-
1868595,55600851,HWA98_gp45,HWA98_gp45,CDKM15_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600852,HWA98_gp46,HWA98_gp46,CDKM15_46,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1868595,55600853,HWA98_gp47,HWA98_gp47,CDKM15_47,-,-,-,Cro/C1-type transcriptional regulator,protein-coding,-,-,-,Cro/C1-type transcriptional regulator,20210424,-
1868595,55600854,HWA98_gp48,HWA98_gp48,CDKM15_48,-,-,-,DUF739 family protein,protein-coding,-,-,-,DUF739 family protein,20210212,-
1868595,55600855,HWA98_gp49,HWA98_gp49,CDKM15_49,-,-,-,Rha family transcriptional regulator,protein-coding,-,-,-,Rha family transcriptional regulator,20210212,-
1868595,55600856,HWA98_gp50,HWA98_gp50,CDKM15_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1868595,55600857,HWA98_gp51,HWA98_gp51,CDKM15_51,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210212,-
