#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656604,62363997,2,JMN98_gp02,SEA_SNAZZY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2656604,62363998,3,JMN98_gp03,SEA_SNAZZY_3,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656604,62363999,4,JMN98_gp04,SEA_SNAZZY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364000,5,JMN98_gp05,SEA_SNAZZY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364001,6,JMN98_gp06,SEA_SNAZZY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364002,7,JMN98_gp07,SEA_SNAZZY_7,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2656604,62364003,8,JMN98_gp08,SEA_SNAZZY_8,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2656604,62364004,9,JMN98_gp09,SEA_SNAZZY_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2656604,62364005,10,JMN98_gp10,SEA_SNAZZY_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2656604,62364006,11,JMN98_gp11,SEA_SNAZZY_11,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2656604,62364007,12,JMN98_gp12,SEA_SNAZZY_12,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2656604,62364008,13,JMN98_gp13,SEA_SNAZZY_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2656604,62364009,14,JMN98_gp14,SEA_SNAZZY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656604,62364010,15,JMN98_gp15,SEA_SNAZZY_15,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
