#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5158,41954327,oi1rnl,F9809_mgp53,-,-,MT,-,intronic ORF at intron 1 of rnl,protein-coding,-,-,-,intronic ORF at intron 1 of rnl,20200926,-
5158,41954328,rps3,F9809_mgp52,-,-,MT,-,ribosomal protein 3,protein-coding,-,-,-,ribosomal protein 3,20191009,-
5158,41954329,oi3rnl,F9809_mgp51,-,-,MT,-,large subunit ribosomal RNA,protein-coding,-,-,-,large subunit ribosomal RNA,20200926,-
5158,41954330,trnT1,F9809_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954331,trnE,F9809_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954332,trnT2,F9809_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954333,trnM1,F9809_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954334,trnL1,F9809_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954335,trnA,F9809_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954336,trnF,F9809_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954337,trnT3,F9809_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954338,trnT4,F9809_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954339,trnQ,F9809_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954340,trnH,F9809_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954341,trnM,F9809_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954342,trnM3,F9809_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954343,nad2,F9809_mgp50,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200905,-
5158,41954344,nad3,F9809_mgp49,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210417,-
5158,41954345,atp9,F9809_mgp48,-,-,MT,-,ATP synthesase subunit 9,protein-coding,-,-,-,ATP synthesase subunit 9,20200905,-
5158,41954346,cox2,F9809_mgp47,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20200905,-
5158,41954347,oi1cox2,F9809_mgp46,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
5158,41954348,oi2cox2,F9809_mgp45,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20200905,-
5158,41954349,oi3cox2,F9809_mgp44,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200926,-
5158,41954350,oi4cox2,F9809_mgp43,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954351,oi5cox2,F9809_mgp42,-,-,MT,-,GIY protein,protein-coding,-,-,-,GIY protein,20200905,-
5158,41954352,oi6cox2,F9809_mgp41,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20200905,-
5158,41954353,rnapol,F9809_mgp40,-,-,MT,-,pseudo,pseudo,-,-,-,-,20200908,-
5158,41954354,trnR1,F9809_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954355,nad4L,F9809_mgp39,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20200905,-
5158,41954356,oi1nad4L,F9809_mgp38,-,-,MT,-,endonuclease-like protein,protein-coding,-,-,-,endonuclease-like protein,20200905,-
5158,41954357,nad5,F9809_mgp37,-,-,MT,-,NADH dehydrogenase subunit H dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit H dehydrogenase subunit 5,20200905,-
5158,41954358,oi1_1nad5,F9809_mgp36,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200926,-
5158,41954359,oi1_2nad5,F9809_mgp35,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954360,oi2nad5,F9809_mgp34,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954361,oi3nad5,F9809_mgp33,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
5158,41954362,oi4nad5,F9809_mgp32,-,-,MT,-,endonuclease,protein-coding,-,-,-,endonuclease,20200905,-
5158,41954363,oi5nad5,F9809_mgp31,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954364,oi6nad5,F9809_mgp30,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5158,41954365,oi7nad5,F9809_mgp29,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
5158,41954366,trnC,F9809_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954367,cob,F9809_mgp28,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20200926,-
5158,41954368,oi1cob,F9809_mgp27,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954369,oi2cob,F9809_mgp26,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954370,cox1,F9809_mgp25,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20200905,-
5158,41954371,oi1cox1,F9809_mgp24,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20200905,-
5158,41954372,oi2cox1,F9809_mgp23,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954373,oi3cox1,F9809_mgp22,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200926,-
5158,41954374,oi4cox1,F9809_mgp21,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954375,oi5cox1,F9809_mgp20,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954376,oi6cox1,F9809_mgp19,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954377,oi7cox1,F9809_mgp18,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954378,oi8cox1,F9809_mgp17,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20200905,-
5158,41954379,oi9cox1,F9809_mgp16,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954380,oi10cox1,F9809_mgp15,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954381,trnR2,F9809_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
5158,41954382,nad1,F9809_mgp14,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200905,-
5158,41954383,oi1nad1,F9809_mgp13,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20200926,-
5158,41954384,nad4,F9809_mgp12,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20200905,-
5158,41954385,oi1nad4,F9809_mgp11,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
5158,41954386,atp8,F9809_mgp10,-,-,MT,-,ATP synthesase subunit 8,protein-coding,-,-,-,ATP synthesase subunit 8,20200905,-
5158,41954387,atp6,F9809_mgp09,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,ATP synthase subunit 6,20200905,-
5158,41954388,oi1atp6,F9809_mgp08,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20200905,-
5158,41954389,oi2apt6,F9809_mgp07,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20200905,-
