#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653764,60331423,2,I5H65_gp002,SEA_MINNIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2653764,60331424,3,I5H65_gp003,SEA_MINNIE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2653764,60331425,4,I5H65_gp004,SEA_MINNIE_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2653764,60331426,5,I5H65_gp005,SEA_MINNIE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2653764,60331427,6,I5H65_gp006,SEA_MINNIE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2653764,60331428,7,I5H65_gp007,SEA_MINNIE_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2653764,60331429,8,I5H65_gp008,SEA_MINNIE_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2653764,60331430,9,I5H65_gp009,SEA_MINNIE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2653764,60331431,10,I5H65_gp010,SEA_MINNIE_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2653764,60331432,11,I5H65_gp011,SEA_MINNIE_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2653764,60331433,12,I5H65_gp012,SEA_MINNIE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653764,60331434,13,I5H65_gp013,SEA_MINNIE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653764,60331435,14,I5H65_gp014,SEA_MINNIE_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2653764,60331436,15,I5H65_gp015,SEA_MINNIE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201202,-
2653764,60331437,16,I5H65_gp016,SEA_MINNIE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653764,60331438,17,I5H65_gp017,SEA_MINNIE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653764,60331439,18,I5H65_gp018,SEA_MINNIE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653764,60331440,19,I5H65_gp019,SEA_MINNIE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653764,60331441,20,I5H65_gp020,SEA_MINNIE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2653764,60331442,21,I5H65_gp021,SEA_MINNIE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653764,60331443,22,I5H65_gp022,SEA_MINNIE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
