#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762423,62362055,2,JMN76_gp02,SEA_MARYBETH_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2762423,62362056,3,JMN76_gp03,SEA_MARYBETH_3,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2762423,62362057,4,JMN76_gp04,SEA_MARYBETH_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362058,5,JMN76_gp05,SEA_MARYBETH_5,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762423,62362059,6,JMN76_gp06,SEA_MARYBETH_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362060,7,JMN76_gp07,SEA_MARYBETH_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362061,8,JMN76_gp08,SEA_MARYBETH_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362062,9,JMN76_gp09,SEA_MARYBETH_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210313,-
2762423,62362063,10,JMN76_gp10,SEA_MARYBETH_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2762423,62362064,11,JMN76_gp11,SEA_MARYBETH_11,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2762423,62362065,12,JMN76_gp12,SEA_MARYBETH_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2762423,62362066,13,JMN76_gp13,SEA_MARYBETH_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2762423,62362067,14,JMN76_gp14,SEA_MARYBETH_14,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2762423,62362068,15,JMN76_gp15,SEA_MARYBETH_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2762423,62362069,16,JMN76_gp16,SEA_MARYBETH_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362070,17,JMN76_gp17,SEA_MARYBETH_17,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2762423,62362071,18,JMN76_gp18,SEA_MARYBETH_18,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2762423,62362072,19,JMN76_gp19,SEA_MARYBETH_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2762423,62362073,20,JMN76_gp20,SEA_MARYBETH_20,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2762423,62362074,21,JMN76_gp21,SEA_MARYBETH_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2762423,62362075,23,JMN76_gp22,SEA_MARYBETH_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210529,-
2762423,62362076,24,JMN76_gp24,SEA_MARYBETH_24,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210428,-
2762423,62362077,22,JMN76_gp23,SEA_MARYBETH_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210529,-
2762423,62362078,25,JMN76_gp25,SEA_MARYBETH_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762423,62362079,26,JMN76_gp26,SEA_MARYBETH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362080,27,JMN76_gp27,SEA_MARYBETH_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762423,62362081,28,JMN76_gp28,SEA_MARYBETH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2762423,62362082,29,JMN76_gp29,SEA_MARYBETH_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2762423,62362083,30,JMN76_gp30,SEA_MARYBETH_30,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210406,-
2762423,62362084,31,JMN76_gp31,SEA_MARYBETH_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762423,62362085,32,JMN76_gp32,SEA_MARYBETH_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2762423,62362086,33,JMN76_gp33,SEA_MARYBETH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362087,34,JMN76_gp34,SEA_MARYBETH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362088,35,JMN76_gp35,SEA_MARYBETH_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2762423,62362089,36,JMN76_gp36,SEA_MARYBETH_36,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2762423,62362090,37,JMN76_gp37,SEA_MARYBETH_37,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210424,-
2762423,62362091,38,JMN76_gp38,SEA_MARYBETH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362092,39,JMN76_gp39,SEA_MARYBETH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362093,40,JMN76_gp40,SEA_MARYBETH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362094,41,JMN76_gp41,SEA_MARYBETH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362095,42,JMN76_gp42,SEA_MARYBETH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2762423,62362096,43,JMN76_gp43,SEA_MARYBETH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
