#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2759460,62362420,2,JMN80_gp02,SEA_MULE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2759460,62362421,3,JMN80_gp03,SEA_MULE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362422,4,JMN80_gp04,SEA_MULE_4,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759460,62362423,5,JMN80_gp05,SEA_MULE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362424,6,JMN80_gp06,SEA_MULE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362425,7,JMN80_gp07,SEA_MULE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362426,8,JMN80_gp08,SEA_MULE_8,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2759460,62362427,9,JMN80_gp09,SEA_MULE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362428,10,JMN80_gp10,SEA_MULE_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2759460,62362429,11,JMN80_gp11,SEA_MULE_11,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2759460,62362430,12,JMN80_gp12,SEA_MULE_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2759460,62362431,13,JMN80_gp13,SEA_MULE_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2759460,62362432,14,JMN80_gp14,SEA_MULE_14,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210313,-
2759460,62362433,15,JMN80_gp15,SEA_MULE_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210529,-
2759460,62362434,16,JMN80_gp16,SEA_MULE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362435,17,JMN80_gp17,SEA_MULE_17,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2759460,62362436,18,JMN80_gp18,SEA_MULE_18,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2759460,62362437,19,JMN80_gp19,SEA_MULE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2759460,62362438,20,JMN80_gp20,SEA_MULE_20,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2759460,62362439,21,JMN80_gp21,SEA_MULE_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2759460,62362440,23,JMN80_gp22,SEA_MULE_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210529,-
2759460,62362441,24,JMN80_gp24,SEA_MULE_24,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2759460,62362442,22,JMN80_gp23,SEA_MULE_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210529,-
2759460,62362443,25,JMN80_gp25,SEA_MULE_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759460,62362444,26,JMN80_gp26,SEA_MULE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362445,27,JMN80_gp27,SEA_MULE_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759460,62362446,28,JMN80_gp28,SEA_MULE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2759460,62362447,29,JMN80_gp29,SEA_MULE_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2759460,62362448,30,JMN80_gp30,SEA_MULE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362449,31,JMN80_gp31,SEA_MULE_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2759460,62362450,32,JMN80_gp32,SEA_MULE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2759460,62362451,33,JMN80_gp33,SEA_MULE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362452,34,JMN80_gp34,SEA_MULE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362453,35,JMN80_gp35,SEA_MULE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362454,36,JMN80_gp36,SEA_MULE_36,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
2759460,62362455,37,JMN80_gp37,SEA_MULE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362456,38,JMN80_gp38,SEA_MULE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362457,39,JMN80_gp39,SEA_MULE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362458,40,JMN80_gp40,SEA_MULE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362459,41,JMN80_gp41,SEA_MULE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2759460,62362460,42,JMN80_gp42,SEA_MULE_42,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210529,-
2759460,62362461,43,JMN80_gp43,SEA_MULE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
