#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
701456,18990392,2,SKIPOLE_2,-,-,-,-,HNH protein,protein-coding,-,-,-,HNH protein,20201220,-
701456,18990393,3,SKIPOLE_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990394,4,SKIPOLE_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990395,5,SKIPOLE_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990396,6,SKIPOLE_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990397,7,SKIPOLE_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990398,8,SKIPOLE_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990399,9,SKIPOLE_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990400,10,SKIPOLE_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990401,11,SKIPOLE_11,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
701456,18990402,12,SKIPOLE_12,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
701456,18990403,13,SKIPOLE_13,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
701456,18990404,14,SKIPOLE_14,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
701456,18990405,15,SKIPOLE_15,-,-,-,-,protease,protein-coding,-,-,-,protease,20201220,-
701456,18990406,16,SKIPOLE_16,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201220,-
701456,18990407,17,SKIPOLE_17,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210417,-
701456,18990408,18,SKIPOLE_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990409,19,SKIPOLE_19,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
701456,18990410,20,SKIPOLE_20,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
701456,18990411,21,SKIPOLE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
701456,18990412,22,SKIPOLE_22,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
701456,18990413,23,SKIPOLE_23,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
701456,18990414,25,SKIPOLE_25,-,-,-,-,tail scaffold chaperone,protein-coding,-,-,-,tail scaffold chaperone,20201220,-
701456,18990415,24,SKIPOLE_24,-,-,-,-,tail scaffold chaperone,protein-coding,-,-,-,tail scaffold chaperone,20201220,-
701456,18990416,26,SKIPOLE_26,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
701456,18990417,27,SKIPOLE_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990418,28,SKIPOLE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990419,29,SKIPOLE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990420,30,SKIPOLE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990421,31,SKIPOLE_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990422,32,SKIPOLE_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990423,33,SKIPOLE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990424,34,SKIPOLE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990425,35,SKIPOLE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990426,36,SKIPOLE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990427,37,SKIPOLE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990428,38,SKIPOLE_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990429,39,SKIPOLE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990430,40,SKIPOLE_40,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
701456,18990431,41,SKIPOLE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990432,42,SKIPOLE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
701456,18990433,43,SKIPOLE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990434,44,SKIPOLE_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990435,45,SKIPOLE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990436,46,SKIPOLE_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990437,47,SKIPOLE_47,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
701456,18990438,48,SKIPOLE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990439,49,SKIPOLE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990440,50,SKIPOLE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990441,51,SKIPOLE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990442,52,SKIPOLE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990443,53,SKIPOLE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
701456,18990444,54,SKIPOLE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
701456,18990445,55,SKIPOLE_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
