#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483670,65117019,2,KNU20_gp02,SEA_GEODIRT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483670,65117020,3,KNU20_gp03,SEA_GEODIRT_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117021,4,KNU20_gp04,SEA_GEODIRT_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117022,5,KNU20_gp05,SEA_GEODIRT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117023,6,KNU20_gp06,SEA_GEODIRT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117024,7,KNU20_gp07,SEA_GEODIRT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117025,8,KNU20_gp08,SEA_GEODIRT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117026,9,KNU20_gp09,SEA_GEODIRT_9,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2483670,65117027,10,KNU20_gp10,SEA_GEODIRT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117028,11,KNU20_gp11,SEA_GEODIRT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117029,12,KNU20_gp12,SEA_GEODIRT_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2483670,65117030,13,KNU20_gp13,SEA_GEODIRT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117031,14,KNU20_gp14,SEA_GEODIRT_14,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2483670,65117032,15,KNU20_gp15,SEA_GEODIRT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117033,16,KNU20_gp16,SEA_GEODIRT_16,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2483670,65117034,17,KNU20_gp17,SEA_GEODIRT_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117035,18,KNU20_gp18,SEA_GEODIRT_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117036,19,KNU20_gp19,SEA_GEODIRT_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117037,20,KNU20_gp20,SEA_GEODIRT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117038,21,KNU20_gp21,SEA_GEODIRT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117039,22,KNU20_gp22,SEA_GEODIRT_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2483670,65117040,23,KNU20_gp23,SEA_GEODIRT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117041,24,KNU20_gp24,SEA_GEODIRT_24,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2483670,65117042,25,KNU20_gp25,SEA_GEODIRT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117043,26,KNU20_gp26,SEA_GEODIRT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117044,27,KNU20_gp27,SEA_GEODIRT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483670,65117045,28,KNU20_gp28,SEA_GEODIRT_28,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2483670,65117046,29,KNU20_gp29,SEA_GEODIRT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117047,30,KNU20_gp30,SEA_GEODIRT_30,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2483670,65117048,31,KNU20_gp31,SEA_GEODIRT_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483670,65117049,32,KNU20_gp32,SEA_GEODIRT_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483670,65117050,33,KNU20_gp33,SEA_GEODIRT_33,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483670,65117051,34,KNU20_gp34,SEA_GEODIRT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117052,35,KNU20_gp35,SEA_GEODIRT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117053,36,KNU20_gp36,SEA_GEODIRT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117054,37,KNU20_gp37,SEA_GEODIRT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117055,38,KNU20_gp38,SEA_GEODIRT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117056,39,KNU20_gp39,SEA_GEODIRT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117057,40,KNU20_gp40,SEA_GEODIRT_40,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2483670,65117058,41,KNU20_gp41,SEA_GEODIRT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117059,42,KNU20_gp42,SEA_GEODIRT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117060,43,KNU20_gp43,SEA_GEODIRT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117061,44,KNU20_gp44,SEA_GEODIRT_44,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2483670,65117062,45,KNU20_gp45,SEA_GEODIRT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117063,46,KNU20_gp46,SEA_GEODIRT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117064,47,KNU20_gp47,SEA_GEODIRT_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2483670,65117065,48,KNU20_gp48,SEA_GEODIRT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483670,65117066,49,KNU20_gp49,SEA_GEODIRT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
