#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234077,62362332,23,JMN79_gp23,SEA_MRYOLO_23,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2234077,62362333,2,JMN79_gp02,SEA_MRYOLO_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2234077,62362334,50,JMN79_gp50,SEA_MRYOLO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362335,7,JMN79_gp07,SEA_MRYOLO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362336,87,JMN79_gp87,SEA_MRYOLO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362337,86,JMN79_gp86,SEA_MRYOLO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362338,85,JMN79_gp85,SEA_MRYOLO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362339,84,JMN79_gp84,SEA_MRYOLO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2234077,62362340,83,JMN79_gp83,SEA_MRYOLO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362341,82,JMN79_gp82,SEA_MRYOLO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362342,81,JMN79_gp81,SEA_MRYOLO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362343,80,JMN79_gp80,SEA_MRYOLO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362344,79,JMN79_gp79,SEA_MRYOLO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362345,78,JMN79_gp78,SEA_MRYOLO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362346,77,JMN79_gp77,SEA_MRYOLO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2234077,62362347,76,JMN79_gp76,SEA_MRYOLO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
