#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047843,64367676,KD928_gp02,KD928_gp02,SEA_PHILONIUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2047843,64367677,KD928_gp03,KD928_gp03,SEA_PHILONIUS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367678,KD928_gp04,KD928_gp04,SEA_PHILONIUS_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2047843,64367679,KD928_gp05,KD928_gp05,SEA_PHILONIUS_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210423,-
2047843,64367680,KD928_gp06,KD928_gp06,SEA_PHILONIUS_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2047843,64367681,KD928_gp07,KD928_gp07,SEA_PHILONIUS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367682,KD928_gp08,KD928_gp08,SEA_PHILONIUS_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2047843,64367683,KD928_gp09,KD928_gp09,SEA_PHILONIUS_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2047843,64367684,KD928_gp10,KD928_gp10,SEA_PHILONIUS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367685,KD928_gp11,KD928_gp11,SEA_PHILONIUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2047843,64367686,KD928_gp12,KD928_gp12,SEA_PHILONIUS_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2047843,64367687,KD928_gp13,KD928_gp13,SEA_PHILONIUS_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2047843,64367688,KD928_gp14,KD928_gp14,SEA_PHILONIUS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2047843,64367689,KD928_gp16,KD928_gp16,SEA_PHILONIUS_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2047843,64367690,KD928_gp15,KD928_gp15,SEA_PHILONIUS_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2047843,64367691,KD928_gp17,KD928_gp17,SEA_PHILONIUS_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047843,64367692,KD928_gp18,KD928_gp18,SEA_PHILONIUS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047843,64367693,KD928_gp19,KD928_gp19,SEA_PHILONIUS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047843,64367694,KD928_gp20,KD928_gp20,SEA_PHILONIUS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047843,64367695,KD928_gp21,KD928_gp21,SEA_PHILONIUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367696,KD928_gp22,KD928_gp22,SEA_PHILONIUS_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2047843,64367697,KD928_gp23,KD928_gp23,SEA_PHILONIUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367698,KD928_gp24,KD928_gp24,SEA_PHILONIUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367699,KD928_gp25,KD928_gp25,SEA_PHILONIUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367700,KD928_gp26,KD928_gp26,SEA_PHILONIUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367701,KD928_gp27,KD928_gp27,SEA_PHILONIUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2047843,64367702,KD928_gp28,KD928_gp28,SEA_PHILONIUS_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210423,-
2047843,64367703,KD928_gp29,KD928_gp29,SEA_PHILONIUS_29,-,-,-,holin,protein-coding,-,-,-,holin,20210423,-
2047843,64367704,KD928_gp30,KD928_gp30,SEA_PHILONIUS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367705,KD928_gp31,KD928_gp31,SEA_PHILONIUS_31,-,-,-,HicB-like antitoxin,protein-coding,-,-,-,HicB-like antitoxin,20210423,-
2047843,64367706,KD928_gp32,KD928_gp32,SEA_PHILONIUS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367707,KD928_gp33,KD928_gp33,SEA_PHILONIUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367708,KD928_gp34,KD928_gp34,SEA_PHILONIUS_34,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210423,-
2047843,64367709,KD928_gp35,KD928_gp35,SEA_PHILONIUS_35,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210423,-
2047843,64367710,KD928_gp36,KD928_gp36,SEA_PHILONIUS_36,-,-,-,excise,protein-coding,-,-,-,excise,20210423,-
2047843,64367711,KD928_gp37,KD928_gp37,SEA_PHILONIUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367712,KD928_gp38,KD928_gp38,SEA_PHILONIUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367713,KD928_gp39,KD928_gp39,SEA_PHILONIUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367714,KD928_gp40,KD928_gp40,SEA_PHILONIUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047843,64367715,KD928_gp41,KD928_gp41,SEA_PHILONIUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
