#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500823,24722585,PHL151M00_02,PHL151M00_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500823,24722586,PHL151M00_03,PHL151M00_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500823,24722587,PHL151M00_04,PHL151M00_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722588,PHL151M00_05,PHL151M00_05,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500823,24722589,PHL151M00_06,PHL151M00_06,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500823,24722590,PHL151M00_07,PHL151M00_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722591,PHL151M00_08,PHL151M00_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722592,PHL151M00_09,PHL151M00_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722593,PHL151M00_10,PHL151M00_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722594,PHL151M00_11,PHL151M00_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500823,24722595,PHL151M00_12,PHL151M00_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722596,PHL151M00_13,PHL151M00_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722597,PHL151M00_14,PHL151M00_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500823,24722598,PHL151M00_15,PHL151M00_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500823,24722599,PHL151M00_16,PHL151M00_16,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500823,24722600,PHL151M00_17,PHL151M00_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722601,PHL151M00_18,PHL151M00_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722602,PHL151M00_19,PHL151M00_19,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500823,24722603,PHL151M00_20,PHL151M00_20,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500823,24722604,PHL151M00_21,PHL151M00_21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500823,24722605,PHL151M00_22,PHL151M00_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722606,PHL151M00_23,PHL151M00_23,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500823,24722607,PHL151M00_24,PHL151M00_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722608,PHL151M00_25,PHL151M00_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722609,PHL151M00_26,PHL151M00_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722610,PHL151M00_27,PHL151M00_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500823,24722611,PHL151M00_28,PHL151M00_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
