#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772311,40078735,2,FDH62_gp02,PUMANCARA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772311,40078736,3,FDH62_gp03,PUMANCARA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772311,40078737,4,FDH62_gp04,PUMANCARA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1772311,40078738,5,FDH62_gp05,PUMANCARA_5,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201221,-
1772311,40078739,6,FDH62_gp06,PUMANCARA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078740,7,FDH62_gp07,PUMANCARA_7,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1772311,40078741,8,FDH62_gp08,PUMANCARA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078742,9,FDH62_gp09,PUMANCARA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078743,10,FDH62_gp10,PUMANCARA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078744,11,FDH62_gp11,PUMANCARA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078745,13,FDH62_gp12,PUMANCARA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772311,40078746,14,FDH62_gp14,PUMANCARA_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772311,40078747,12,FDH62_gp13,PUMANCARA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772311,40078748,15,FDH62_gp15,PUMANCARA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772311,40078749,16,FDH62_gp16,PUMANCARA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772311,40078750,17,FDH62_gp17,PUMANCARA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772311,40078751,18,FDH62_gp18,PUMANCARA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772311,40078752,19,FDH62_gp19,PUMANCARA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078753,20,FDH62_gp20,PUMANCARA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078754,21,FDH62_gp21,PUMANCARA_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1772311,40078755,22,FDH62_gp22,PUMANCARA_22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772311,40078756,23,FDH62_gp23,PUMANCARA_23,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772311,40078757,24,FDH62_gp24,PUMANCARA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078758,25,FDH62_gp25,PUMANCARA_25,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772311,40078759,26,FDH62_gp26,PUMANCARA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078760,27,FDH62_gp27,PUMANCARA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078761,28,FDH62_gp28,PUMANCARA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078762,29,FDH62_gp29,PUMANCARA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078763,30,FDH62_gp30,PUMANCARA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078764,31,FDH62_gp31,PUMANCARA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078765,32,FDH62_gp32,PUMANCARA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078766,33,FDH62_gp33,PUMANCARA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078767,34,FDH62_gp34,PUMANCARA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078768,35,FDH62_gp35,PUMANCARA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078769,36,FDH62_gp36,PUMANCARA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078770,37,FDH62_gp37,PUMANCARA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078771,38,FDH62_gp38,PUMANCARA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078772,39,FDH62_gp39,PUMANCARA_39,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1772311,40078773,40,FDH62_gp40,PUMANCARA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078774,41,FDH62_gp41,PUMANCARA_41,-,-,-,RecA-like recombinase,protein-coding,-,-,-,RecA-like recombinase,20201221,-
1772311,40078775,42,FDH62_gp42,PUMANCARA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078776,43,FDH62_gp43,PUMANCARA_43,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1772311,40078777,44,FDH62_gp44,PUMANCARA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772311,40078778,45,FDH62_gp45,PUMANCARA_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1772311,40078779,46,FDH62_gp46,PUMANCARA_46,-,-,-,adenylsuccinate synthetase,protein-coding,-,-,-,adenylsuccinate synthetase,20201221,-
