#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445860,23680946,STP4a_186,STP4a_186,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20201221,-
1445860,23680947,STP4a_187,STP4a_187,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
1445860,23680948,STP4a_188,STP4a_188,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20201221,-
1445860,23680949,STP4a_189,STP4a_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680950,STP4a_190,STP4a_190,-,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20201221,-
1445860,23680951,STP4a_191,STP4a_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680952,STP4a_192,STP4a_192,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1445860,23680953,STP4a_193,STP4a_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680954,STP4a_194,STP4a_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680955,STP4a_195,STP4a_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680956,STP4a_196,STP4a_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680957,STP4a_197,STP4a_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680958,STP4a_198,STP4a_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680959,STP4a_199,STP4a_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445860,23680960,STP4a_200,STP4a_200,-,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20201221,-
1445860,23680961,STP4a_201,STP4a_201,-,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20201221,-
1445860,23680962,STP4a_202,STP4a_202,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
