#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301695,65115563,43,KNU06_gp43,SEA_ANGELICAGE_43,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2301695,65115564,44,KNU06_gp44,SEA_ANGELICAGE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115565,45,KNU06_gp45,SEA_ANGELICAGE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115566,46,KNU06_gp46,SEA_ANGELICAGE_46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2301695,65115567,47,KNU06_gp47,SEA_ANGELICAGE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115568,48,KNU06_gp48,SEA_ANGELICAGE_48,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2301695,65115569,49,KNU06_gp49,SEA_ANGELICAGE_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2301695,65115570,50,KNU06_gp50,SEA_ANGELICAGE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115571,51,KNU06_gp51,SEA_ANGELICAGE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115572,52,KNU06_gp52,SEA_ANGELICAGE_52,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2301695,65115573,53,KNU06_gp53,SEA_ANGELICAGE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115574,54,KNU06_gp54,SEA_ANGELICAGE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115575,55,KNU06_gp55,SEA_ANGELICAGE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115576,56,KNU06_gp56,SEA_ANGELICAGE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115577,57,KNU06_gp57,SEA_ANGELICAGE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115578,58,KNU06_gp58,SEA_ANGELICAGE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115579,60,KNU06_gp60,SEA_ANGELICAGE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115580,62,KNU06_gp62,SEA_ANGELICAGE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115581,63,KNU06_gp63,SEA_ANGELICAGE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115582,64,KNU06_gp64,SEA_ANGELICAGE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115583,65,KNU06_gp65,SEA_ANGELICAGE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115584,66,KNU06_gp66,SEA_ANGELICAGE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115585,67,KNU06_gp67,SEA_ANGELICAGE_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2301695,65115586,68,KNU06_gp68,SEA_ANGELICAGE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115587,70,KNU06_gp70,SEA_ANGELICAGE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115588,71,KNU06_gp71,SEA_ANGELICAGE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115589,72,KNU06_gp72,SEA_ANGELICAGE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115590,73,KNU06_gp73,SEA_ANGELICAGE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115591,74,KNU06_gp74,SEA_ANGELICAGE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115592,75,KNU06_gp75,SEA_ANGELICAGE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115593,76,KNU06_gp76,SEA_ANGELICAGE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115594,77,KNU06_gp77,SEA_ANGELICAGE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115595,78,KNU06_gp78,SEA_ANGELICAGE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115596,79,KNU06_gp79,SEA_ANGELICAGE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115597,80,KNU06_gp80,SEA_ANGELICAGE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115598,81,KNU06_gp81,SEA_ANGELICAGE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115599,82,KNU06_gp82,SEA_ANGELICAGE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115600,83,KNU06_gp83,SEA_ANGELICAGE_83,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2301695,65115601,84,KNU06_gp84,SEA_ANGELICAGE_84,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210607,-
2301695,65115602,59,KNU06_gp59,SEA_ANGELICAGE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115603,61,KNU06_gp61,SEA_ANGELICAGE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115604,69,KNU06_gp69,SEA_ANGELICAGE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115605,2,KNU06_gp02,SEA_ANGELICAGE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2301695,65115606,3,KNU06_gp03,SEA_ANGELICAGE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115607,4,KNU06_gp04,SEA_ANGELICAGE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115608,5,KNU06_gp05,SEA_ANGELICAGE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115609,6,KNU06_gp06,SEA_ANGELICAGE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115610,9,KNU06_gp09,SEA_ANGELICAGE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115611,10,KNU06_gp10,SEA_ANGELICAGE_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2301695,65115612,11,KNU06_gp11,SEA_ANGELICAGE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115613,12,KNU06_gp12,SEA_ANGELICAGE_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2301695,65115614,13,KNU06_gp13,SEA_ANGELICAGE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115615,14,KNU06_gp14,SEA_ANGELICAGE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115616,15,KNU06_gp15,SEA_ANGELICAGE_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2301695,65115617,16,KNU06_gp16,SEA_ANGELICAGE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115618,17,KNU06_gp17,SEA_ANGELICAGE_17,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2301695,65115619,18,KNU06_gp18,SEA_ANGELICAGE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115620,19,KNU06_gp19,SEA_ANGELICAGE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115621,20,KNU06_gp20,SEA_ANGELICAGE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115622,21,KNU06_gp21,SEA_ANGELICAGE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115623,22,KNU06_gp22,SEA_ANGELICAGE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115624,23,KNU06_gp23,SEA_ANGELICAGE_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2301695,65115625,24,KNU06_gp24,SEA_ANGELICAGE_24,-,-,-,glucosaminyldeacetylase,protein-coding,-,-,-,glucosaminyldeacetylase,20210607,-
2301695,65115626,25,KNU06_gp25,SEA_ANGELICAGE_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2301695,65115627,26,KNU06_gp26,SEA_ANGELICAGE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115628,27,KNU06_gp27,SEA_ANGELICAGE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115629,28,KNU06_gp28,SEA_ANGELICAGE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115630,29,KNU06_gp29,SEA_ANGELICAGE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115631,30,KNU06_gp30,SEA_ANGELICAGE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115632,31,KNU06_gp31,SEA_ANGELICAGE_31,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2301695,65115633,32,KNU06_gp32,SEA_ANGELICAGE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2301695,65115634,33,KNU06_gp33,SEA_ANGELICAGE_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2301695,65115635,34,KNU06_gp34,SEA_ANGELICAGE_34,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2301695,65115636,36,KNU06_gp36,SEA_ANGELICAGE_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2301695,65115637,37,KNU06_gp37,SEA_ANGELICAGE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115638,38,KNU06_gp38,SEA_ANGELICAGE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115639,39,KNU06_gp39,SEA_ANGELICAGE_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2301695,65115640,40,KNU06_gp40,SEA_ANGELICAGE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115641,41,KNU06_gp41,SEA_ANGELICAGE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115642,42,KNU06_gp42,SEA_ANGELICAGE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115643,7,KNU06_gp07,SEA_ANGELICAGE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115644,8,KNU06_gp08,SEA_ANGELICAGE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115645,35,KNU06_gp35,SEA_ANGELICAGE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2301695,65115646,1,KNU06_gp01,SEA_ANGELICAGE_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2301695,65242891,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia terrae bacteriophage Angelicage).,other,-,-,-,-,20210609,-
