#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419956,55006642,2,HOU49_gp02,PBI_EILEEN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419956,55006643,3,HOU49_gp03,PBI_EILEEN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419956,55006644,4,HOU49_gp04,PBI_EILEEN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2419956,55006645,5,HOU49_gp05,PBI_EILEEN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2419956,55006646,6,HOU49_gp06,PBI_EILEEN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419956,55006647,7,HOU49_gp07,PBI_EILEEN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006648,8,HOU49_gp08,PBI_EILEEN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006649,9,HOU49_gp09,PBI_EILEEN_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2419956,55006650,10,HOU49_gp10,PBI_EILEEN_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2419956,55006651,11,HOU49_gp11,PBI_EILEEN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419956,55006652,12,HOU49_gp12,PBI_EILEEN_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
2419956,55006653,13,HOU49_gp13,PBI_EILEEN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
