#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517969,65119021,2,KNU48_gp002,SEA_SILVERLEAF_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2517969,65119022,3,KNU48_gp003,SEA_SILVERLEAF_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517969,65119023,4,KNU48_gp004,SEA_SILVERLEAF_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2517969,65119024,5,KNU48_gp005,SEA_SILVERLEAF_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2517969,65119025,6,KNU48_gp006,SEA_SILVERLEAF_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
2517969,65119026,7,KNU48_gp007,SEA_SILVERLEAF_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210607,-
2517969,65119027,8,KNU48_gp008,SEA_SILVERLEAF_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2517969,65119028,9,KNU48_gp009,SEA_SILVERLEAF_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2517969,65119029,10,KNU48_gp010,SEA_SILVERLEAF_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210607,-
2517969,65119030,11,KNU48_gp011,SEA_SILVERLEAF_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2517969,65119031,12,KNU48_gp012,SEA_SILVERLEAF_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210607,-
2517969,65119032,13,KNU48_gp013,SEA_SILVERLEAF_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2517969,65119033,15,KNU48_gp014,SEA_SILVERLEAF_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2517969,65119034,16,KNU48_gp016,SEA_SILVERLEAF_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
