#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340822,16547504,2,PBI_DAENERYS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1340822,16547505,3,PBI_DAENERYS_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
1340822,16547506,4,PBI_DAENERYS_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1340822,16547507,5,PBI_DAENERYS_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1340822,16547508,6,PBI_DAENERYS_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1340822,16547509,7,PBI_DAENERYS_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1340822,16547510,8,PBI_DAENERYS_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1340822,16547511,9,PBI_DAENERYS_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1340822,16547512,10,PBI_DAENERYS_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1340822,16547513,11,PBI_DAENERYS_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1340822,16547514,13,PBI_DAENERYS_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1340822,16547515,14,PBI_DAENERYS_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1340822,16547516,12,PBI_DAENERYS_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1340822,16547517,15,PBI_DAENERYS_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1340822,16547518,16,PBI_DAENERYS_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1340822,16547519,17,PBI_DAENERYS_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1340822,16547520,18,PBI_DAENERYS_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1340822,16547521,19,PBI_DAENERYS_19,-,-,-,-,D-ala-D-ala-carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala-carboxypeptidase,20210403,-
1340822,16547522,20,PBI_DAENERYS_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1340822,16547523,21,PBI_DAENERYS_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547524,22,PBI_DAENERYS_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547525,23,PBI_DAENERYS_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547526,24,PBI_DAENERYS_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547527,25,PBI_DAENERYS_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547528,26,PBI_DAENERYS_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547529,27,PBI_DAENERYS_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547530,28,PBI_DAENERYS_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547531,29,PBI_DAENERYS_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340822,16547532,30,PBI_DAENERYS_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
