#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1589751,26629180,AVV24_gp02,AVV24_gp02,LILY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1589751,26629181,AVV24_gp03,AVV24_gp03,LILY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629182,AVV24_gp04,AVV24_gp04,LILY_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1589751,26629183,AVV24_gp05,AVV24_gp05,LILY_5,-,-,-,Clp protease-like protein,protein-coding,-,-,-,Clp protease-like protein,20200629,-
1589751,26629184,AVV24_gp06,AVV24_gp06,LILY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629185,AVV24_gp07,AVV24_gp07,LILY_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1589751,26629186,AVV24_gp08,AVV24_gp08,LILY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629187,AVV24_gp09,AVV24_gp09,LILY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629188,AVV24_gp10,AVV24_gp10,LILY_10,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1589751,26629189,AVV24_gp11,AVV24_gp11,LILY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629190,AVV24_gp12,AVV24_gp12,LILY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629191,AVV24_gp13,AVV24_gp13,LILY_13,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20200629,-
1589751,26629192,AVV24_gp14,AVV24_gp14,LILY_14,-,-,-,tail tube,protein-coding,-,-,-,tail tube,20200629,-
1589751,26629193,AVV24_gp15,AVV24_gp15,LILY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629194,AVV24_gp16,AVV24_gp16,LILY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629195,AVV24_gp17,AVV24_gp17,LILY_17,-,-,-,tail tape measure,protein-coding,-,-,-,tail tape measure,20200629,-
1589751,26629196,AVV24_gp18,AVV24_gp18,LILY_18,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1589751,26629197,AVV24_gp19,AVV24_gp19,LILY_19,-,-,-,late control protein,protein-coding,-,-,-,late control protein,20200629,-
1589751,26629198,AVV24_gp20,AVV24_gp20,LILY_20,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200629,-
1589751,26629199,AVV24_gp21,AVV24_gp21,LILY_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200629,-
1589751,26629200,AVV24_gp22,AVV24_gp22,LILY_22,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200629,-
1589751,26629201,AVV24_gp23,AVV24_gp23,LILY_23,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200629,-
1589751,26629202,AVV24_gp24,AVV24_gp24,LILY_24,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1589751,26629203,AVV24_gp25,AVV24_gp25,LILY_25,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1589751,26629204,AVV24_gp26,AVV24_gp26,LILY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629205,AVV24_gp27,AVV24_gp27,LILY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1589751,26629206,AVV24_gp28,AVV24_gp28,LILY_28,-,-,-,bacteriocin-like protein,protein-coding,-,-,-,bacteriocin-like protein,20210320,-
1589751,26629207,AVV24_gp29,AVV24_gp29,LILY_29,-,-,-,N-acetylmuramoyl-L-alanine amidase-like protein,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase-like protein,20200629,-
1589751,26629208,AVV24_gp30,AVV24_gp30,LILY_30,-,-,-,transposase,protein-coding,-,-,-,transposase,20201221,-
1589751,26629209,AVV24_gp31,AVV24_gp31,LILY_31,-,-,-,GTP pyrophosphokinase-like protein,protein-coding,-,-,-,GTP pyrophosphokinase-like protein,20210424,-
1589751,26629210,AVV24_gp32,AVV24_gp32,LILY_32,-,-,-,DUF4065 domain-containing protein,protein-coding,-,-,-,DUF4065 domain-containing protein,20210424,-
1589751,26629211,AVV24_gp33,AVV24_gp33,LILY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629212,AVV24_gp34,AVV24_gp34,LILY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629213,AVV24_gp35,AVV24_gp35,LILY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629214,AVV24_gp36,AVV24_gp36,LILY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629215,AVV24_gp37,AVV24_gp37,LILY_37,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1589751,26629216,AVV24_gp38,AVV24_gp38,LILY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629217,AVV24_gp39,AVV24_gp39,LILY_39,-,-,-,YqaE/Pmp3 family membrane protein,protein-coding,-,-,-,YqaE/Pmp3 family membrane protein,20201221,-
1589751,26629218,AVV24_gp40,AVV24_gp40,LILY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1589751,26629219,AVV24_gp41,AVV24_gp41,LILY_41,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
1589751,26629220,AVV24_gp42,AVV24_gp42,LILY_42,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
