#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500818,24667741,PHL117M00_02,PHL117M00_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500818,24667742,PHL117M00_03,PHL117M00_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500818,24667743,PHL117M00_04,PHL117M00_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667744,PHL117M00_05,PHL117M00_05,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500818,24667745,PHL117M00_06,PHL117M00_06,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500818,24667746,PHL117M00_07,PHL117M00_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667747,PHL117M00_08,PHL117M00_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667748,PHL117M00_09,PHL117M00_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667749,PHL117M00_10,PHL117M00_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667750,PHL117M00_11,PHL117M00_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500818,24667751,PHL117M00_12,PHL117M00_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667752,PHL117M00_13,PHL117M00_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667753,PHL117M00_14,PHL117M00_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500818,24667754,PHL117M00_15,PHL117M00_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500818,24667755,PHL117M00_16,PHL117M00_16,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500818,24667756,PHL117M00_17,PHL117M00_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667757,PHL117M00_18,PHL117M00_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667758,PHL117M00_19,PHL117M00_19,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500818,24667759,PHL117M00_20,PHL117M00_20,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500818,24667760,PHL117M00_21,PHL117M00_21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500818,24667761,PHL117M00_22,PHL117M00_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667762,PHL117M00_23,PHL117M00_23,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500818,24667763,PHL117M00_24,PHL117M00_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667764,PHL117M00_25,PHL117M00_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667765,PHL117M00_26,PHL117M00_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667766,PHL117M00_27,PHL117M00_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667767,PHL117M00_28,PHL117M00_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667768,PHL117M00_29,PHL117M00_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500818,24667769,PHL117M00_30,PHL117M00_30,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500818,24667770,PHL117M00_31,PHL117M00_31,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
