#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5059,7944271,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Aspergillus flavus var. parvisclerotigenus; Aspergillus parvisclerotigenus; Petromyces flavus).,other,-,-,-,-,20201031,-
5059,24161215,YC10_gt13,YC10_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161216,YC10_gt14,YC10_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161217,YC10_gt15,YC10_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161218,YC10_gt16,YC10_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161219,YC10_gr01,YC10_gr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20150425,-
5059,24161220,YC10_gp06,YC10_gp06,-,-,MT,-,ribosomal protein S5,protein-coding,-,-,-,-,20150715,-
5059,24161221,YC10_gp01,YC10_gp01,-,-,MT,-,cob,protein-coding,-,-,-,cytochrome b,20150801,-
5059,24161222,YC10_gt03,YC10_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161223,YC10_gp14,YC10_gp14,-,-,MT,-,cox2,protein-coding,-,-,-,cytochrome oxidase subunit 2,20160924,-
5059,24161224,YC10_gt04,YC10_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161225,YC10_gt01,YC10_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161226,YC10_gp16,YC10_gp16,-,-,MT,-,atp9,protein-coding,-,-,-,ATP synthase subunit 9,20210417,-
5059,24161227,YC10_gp12,YC10_gp12,-,-,MT,-,nad5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20160924,-
5059,24161228,YC10_gp11,YC10_gp11,-,-,MT,-,nad2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20160924,-
5059,24161229,YC10_gt05,YC10_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161230,YC10_gp09,YC10_gp09,-,-,MT,-,atp6,protein-coding,-,-,-,ATP synthase subunit 6,20160924,-
5059,24161231,YC10_gs01,YC10_gs01,-,-,MT,-,rpnB,ncRNA,-,-,-,-,20150425,-
5059,24161232,YC10_gr02,YC10_gr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20150425,-
5059,24161233,YC10_gp07,YC10_gp07,-,-,MT,-,cox3,protein-coding,-,-,-,cytochrome oxidase subunit 3,20160924,-
5059,24161234,YC10_gt08,YC10_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161235,YC10_gp02,YC10_gp02,-,-,MT,-,orf253,protein-coding,-,-,-,hypothetical protein,20150715,-
5059,24161236,YC10_gt18,YC10_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161237,YC10_gt19,YC10_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
5059,24161238,YC10_gt20,YC10_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150425,-
