#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1537102,15802624,BEWA_015190,BEWA_015190,-,-,4,-,cysteine protease,protein-coding,-,-,-,cysteine protease,20200911,-
1537102,15802625,BEWA_015200,BEWA_015200,-,-,4,-,"GTP-binding protein typa/bipa, putative",protein-coding,-,-,-,"GTP-binding protein typa/bipa, putative",20200911,-
1537102,15802626,BEWA_015210,BEWA_015210,-,-,4,-,"mitochondrial ATP synthase F1 subunit epsilon, putative",protein-coding,-,-,-,"mitochondrial ATP synthase F1 subunit epsilon, putative",20200911,-
1537102,15802627,BEWA_015220,BEWA_015220,-,-,4,-,signal peptide containing protein,protein-coding,-,-,-,signal peptide containing protein,20200911,-
1537102,15802628,BEWA_015230,BEWA_015230,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802629,BEWA_015240,BEWA_015240,-,-,4,-,"eukaryotic translation initiation factor, putative",protein-coding,-,-,-,"eukaryotic translation initiation factor, putative",20200911,-
1537102,15802630,BEWA_015250,BEWA_015250,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802631,BEWA_015260,BEWA_015260,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802632,BEWA_015270,BEWA_015270,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802633,BEWA_015280,BEWA_015280,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802634,BEWA_015290,BEWA_015290,-,-,4,-,"50S ribosomal protein L2, putative",protein-coding,-,-,-,"50S ribosomal protein L2, putative",20200911,-
1537102,15802635,BEWA_015300,BEWA_015300,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802636,BEWA_015310,BEWA_015310,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802637,BEWA_015320,BEWA_015320,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802638,BEWA_015330,BEWA_015330,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802639,BEWA_015340,BEWA_015340,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802640,BEWA_015350,BEWA_015350,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802641,BEWA_015360,BEWA_015360,-,-,4,-,TBC domain containing protein,protein-coding,-,-,-,TBC domain containing protein,20200911,-
1537102,15802642,BEWA_015380,BEWA_015380,-,-,4,-,tRNA,tRNA,-,-,-,-,20200911,-
1537102,15802643,BEWA_015370,BEWA_015370,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802644,BEWA_015410,BEWA_015410,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802645,BEWA_015420,BEWA_015420,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802646,BEWA_015430,BEWA_015430,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802647,BEWA_015440,BEWA_015440,-,-,4,-,ATP binding protein family member protein,protein-coding,-,-,-,ATP binding protein family member protein,20200911,-
1537102,15802648,BEWA_015450,BEWA_015450,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802649,BEWA_015460,BEWA_015460,-,-,4,-,DEAD box ATP-dependent RNA helicase family member protein,protein-coding,-,-,-,DEAD box ATP-dependent RNA helicase family member protein,20200911,-
1537102,15802650,BEWA_015470,BEWA_015470,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802651,BEWA_015480,BEWA_015480,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802652,BEWA_015490,BEWA_015490,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802653,BEWA_015500,BEWA_015500,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802654,BEWA_015510,BEWA_015510,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
1537102,15802655,BEWA_015520,BEWA_015520,-,-,4,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
