#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2066503,65072124,KMD27_gp02,KMD27_gp02,SHSt15644_orf00002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2066503,65072125,KMD27_gp03,KMD27_gp03,SHSt15644_orf00003,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2066503,65072126,KMD27_gp04,KMD27_gp04,SHSt15644_orf00004,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20210612,-
2066503,65072127,KMD27_gp05,KMD27_gp05,SHSt15644_orf00005,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210612,-
2066503,65072128,KMD27_gp06,KMD27_gp06,SHSt15644_orf00007,-,-,-,putative DNA packaging protein,protein-coding,-,-,-,putative DNA packaging protein,20210612,-
2066503,65072129,KMD27_gp07,KMD27_gp07,SHSt15644_orf00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072130,KMD27_gp08,KMD27_gp08,SHSt15644_orf00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072131,KMD27_gp09,KMD27_gp09,SHSt15644_orf00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072132,KMD27_gp10,KMD27_gp10,SHSt15644_orf00011,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2066503,65072133,KMD27_gp11,KMD27_gp11,SHSt15644_orf00013,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2066503,65072134,KMD27_gp12,KMD27_gp12,SHSt15644_orf00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072135,KMD27_gp13,KMD27_gp13,SHSt15644_orf00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072136,KMD27_gp14,KMD27_gp14,SHSt15644_orf00018,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210607,-
2066503,65072137,KMD27_gp15,KMD27_gp15,SHSt15644_orf00019,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210612,-
2066503,65072138,KMD27_gp16,KMD27_gp16,SHSt15644_orf00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2066503,65072139,KMD27_gp17,KMD27_gp17,SHSt15644_orf00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
