#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500830,24599141,ACJ79_gp02,ACJ79_gp02,PHL199M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500830,24599142,ACJ79_gp03,ACJ79_gp03,PHL199M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500830,24599143,ACJ79_gp04,ACJ79_gp04,PHL199M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599144,ACJ79_gp05,ACJ79_gp05,PHL199M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500830,24599145,ACJ79_gp06,ACJ79_gp06,PHL199M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500830,24599146,ACJ79_gp07,ACJ79_gp07,PHL199M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599147,ACJ79_gp08,ACJ79_gp08,PHL199M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599148,ACJ79_gp09,ACJ79_gp09,PHL199M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599149,ACJ79_gp10,ACJ79_gp10,PHL199M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599150,ACJ79_gp11,ACJ79_gp11,PHL199M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500830,24599151,ACJ79_gp12,ACJ79_gp12,PHL199M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500830,24599152,ACJ79_gp13,ACJ79_gp13,PHL199M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
