#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1417599,17699574,X532_gp02,X532_gp02,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1417599,17699575,X532_gp03,X532_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699576,X532_gp04,X532_gp04,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20210417,-
1417599,17699577,X532_gp05,X532_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699578,X532_gp06,X532_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699579,X532_gp07,X532_gp07,-,-,-,-,putative head DNA stabilization protein,protein-coding,-,-,-,putative head DNA stabilization protein,20210417,-
1417599,17699580,X532_gp08,X532_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699581,X532_gp09,X532_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699582,X532_gp10,X532_gp10,-,-,-,-,putative packaged DNA protein,protein-coding,-,-,-,putative packaged DNA protein,20210417,-
1417599,17699583,X532_gp11,X532_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699584,X532_gp12,X532_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1417599,17699585,X532_gp13,X532_gp13,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1417599,17699586,X532_gp14,X532_gp14,-,-,-,-,putative DNA transfer protein,protein-coding,-,-,-,putative DNA transfer protein,20201221,-
1417599,17699587,X532_gp15,X532_gp15,-,-,-,-,putative DNA transfer protein,protein-coding,-,-,-,putative DNA transfer protein,20201221,-
1417599,17699588,X532_gp16,X532_gp16,-,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20210417,-
1417599,17699589,X532_gp17,X532_gp17,-,-,-,-,bacteriolytic protein,protein-coding,-,-,-,bacteriolytic protein,20210417,-
