#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588507,65121154,2,KNU66_gp02,SEA_MCKINLEY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2588507,65121155,3,KNU66_gp03,SEA_MCKINLEY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121156,4,KNU66_gp04,SEA_MCKINLEY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121157,5,KNU66_gp05,SEA_MCKINLEY_5,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2588507,65121158,6,KNU66_gp06,SEA_MCKINLEY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121159,7,KNU66_gp07,SEA_MCKINLEY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121160,8,KNU66_gp08,SEA_MCKINLEY_8,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2588507,65121161,9,KNU66_gp09,SEA_MCKINLEY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121162,10,KNU66_gp10,SEA_MCKINLEY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121163,11,KNU66_gp11,SEA_MCKINLEY_11,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210608,-
2588507,65121164,12,KNU66_gp12,SEA_MCKINLEY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121165,13,KNU66_gp13,SEA_MCKINLEY_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2588507,65121166,14,KNU66_gp14,SEA_MCKINLEY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121167,15,KNU66_gp15,SEA_MCKINLEY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121168,16,KNU66_gp16,SEA_MCKINLEY_16,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210608,-
2588507,65121169,17,KNU66_gp17,SEA_MCKINLEY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121170,18,KNU66_gp18,SEA_MCKINLEY_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210608,-
2588507,65121171,19,KNU66_gp19,SEA_MCKINLEY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2588507,65121172,20,KNU66_gp20,SEA_MCKINLEY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
