#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
424716,6128864,VIP0022,VIP0022,-,-,-,-,hypothetical phage lipoprotein,protein-coding,-,-,-,hypothetical phage lipoprotein,20201220,-
424716,6128865,VIP0021,VIP0021,-,-,-,-,phage-related DNA-binding protein,protein-coding,-,-,-,phage-related DNA-binding protein,20201220,-
424716,6128866,VIP0023,VIP0023,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
424716,6128867,VIP0020,VIP0020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128868,VIP0032,VIP0032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128869,VIP0024,VIP0024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128870,VIP0052,VIP0052,-,-,-,-,putative endonuclease protein,protein-coding,-,-,-,putative endonuclease protein,20201220,-
424716,6128871,VIP0031,VIP0031,-,-,-,-,exported phage protein,protein-coding,-,-,-,exported phage protein,20201220,-
424716,6128872,VIP0018,VIP0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128873,VIP0026,VIP0026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128874,VIP0027,VIP0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128875,roi,VIP0028,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201220,-
424716,6128876,VIP0029,VIP0029,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
424716,6128877,VIP0050,VIP0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128878,VIP0049,VIP0049,-,-,-,-,pseudo,pseudo,-,-,-,-,20201220,-
424716,6128879,VIP0047,VIP0047,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201220,-
424716,6128880,VIP0030,VIP0030,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
424716,6128881,VIP0048,VIP0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128882,VIP0019,VIP0019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128883,VIP0051,VIP0051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128884,VIP0025,VIP0025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424716,6128885,VIP0038,VIP0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
