#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301702,60326614,2,I5H19_gp002,SEA_BURWELL21_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2301702,60326615,4,I5H19_gp004,SEA_BURWELL21_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301702,60326616,5,I5H19_gp005,SEA_BURWELL21_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201217,-
2301702,60326617,6,I5H19_gp006,SEA_BURWELL21_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2301702,60326618,7,I5H19_gp007,SEA_BURWELL21_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301702,60326619,8,I5H19_gp008,SEA_BURWELL21_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301702,60326620,9,I5H19_gp009,SEA_BURWELL21_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2301702,60326621,10,I5H19_gp010,SEA_BURWELL21_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301702,60326622,13,I5H19_gp012,SEA_BURWELL21_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301702,60326623,14,I5H19_gp014,SEA_BURWELL21_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210406,-
2301702,60326624,15,I5H19_gp015,SEA_BURWELL21_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301702,60326625,16,I5H19_gp016,SEA_BURWELL21_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301702,60326626,17,I5H19_gp017,SEA_BURWELL21_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301702,60326627,18,I5H19_gp018,SEA_BURWELL21_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
