#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458715,26516170,2,PBI_SWISH_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1458715,26516171,3,PBI_SWISH_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516172,4,PBI_SWISH_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516173,5,PBI_SWISH_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516174,6,PBI_SWISH_6,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1458715,26516175,7,PBI_SWISH_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516176,8,PBI_SWISH_8,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1458715,26516177,9,PBI_SWISH_9,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201221,-
1458715,26516178,10,PBI_SWISH_10,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210212,-
1458715,26516179,11,PBI_SWISH_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516180,12,PBI_SWISH_12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1458715,26516181,13,PBI_SWISH_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516182,14,PBI_SWISH_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516183,15,PBI_SWISH_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516184,16,PBI_SWISH_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516185,17,PBI_SWISH_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516186,18,PBI_SWISH_18,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1458715,26516187,19,PBI_SWISH_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516188,20,PBI_SWISH_20,-,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201221,-
1458715,26516189,21,PBI_SWISH_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516190,22,PBI_SWISH_22,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1458715,26516191,23,PBI_SWISH_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516192,24,PBI_SWISH_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516193,25,PBI_SWISH_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458715,26516194,26,PBI_SWISH_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516195,27,PBI_SWISH_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458715,26516196,28,PBI_SWISH_28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
