#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647304,26630784,2,AVT49_gp02,SEA_FLAGSTAFF_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210208,-
1647304,26630785,3,AVT49_gp03,SEA_FLAGSTAFF_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210208,-
1647304,26630786,4,AVT49_gp04,SEA_FLAGSTAFF_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210208,-
1647304,26630787,5,AVT49_gp05,SEA_FLAGSTAFF_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630788,6,AVT49_gp06,SEA_FLAGSTAFF_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630789,7,AVT49_gp07,SEA_FLAGSTAFF_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210208,-
1647304,26630790,8,AVT49_gp08,SEA_FLAGSTAFF_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630791,9,AVT49_gp09,SEA_FLAGSTAFF_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630792,10,AVT49_gp10,SEA_FLAGSTAFF_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210208,-
1647304,26630793,11,AVT49_gp11,SEA_FLAGSTAFF_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647304,26630794,12,AVT49_gp12,SEA_FLAGSTAFF_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210208,-
1647304,26630795,13,AVT49_gp13,SEA_FLAGSTAFF_13,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210208,-
1647304,26630796,15,AVT49_gp14,SEA_FLAGSTAFF_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1647304,26630797,16,AVT49_gp16,SEA_FLAGSTAFF_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210208,-
1647304,26630798,14,AVT49_gp15,SEA_FLAGSTAFF_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1647304,26630799,17,AVT49_gp17,SEA_FLAGSTAFF_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
