#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675608,40083204,FDI06_gp001,FDI06_gp001,CPT_Miro1,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1675608,40083205,FDI06_gp002,FDI06_gp002,CPT_Miro2,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1675608,40083206,FDI06_gp003,FDI06_gp003,CPT_Miro3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083207,FDI06_gp004,FDI06_gp004,CPT_Miro4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1675608,40083208,FDI06_gp005,FDI06_gp005,CPT_Miro5,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20200910,-
1675608,40083209,FDI06_gp006,FDI06_gp006,CPT_Miro6,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20200910,-
1675608,40083210,FDI06_gp007,FDI06_gp007,CPT_Miro7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083211,FDI06_gp008,FDI06_gp008,CPT_Miro8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083212,FDI06_gp009,FDI06_gp009,CPT_Miro9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083213,FDI06_gp010,FDI06_gp010,CPT_Miro10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083214,FDI06_gp011,FDI06_gp011,CPT_Miro11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083215,FDI06_gp012,FDI06_gp012,CPT_Miro12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083216,FDI06_gp013,FDI06_gp013,CPT_Miro13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083217,FDI06_gp014,FDI06_gp014,CPT_Miro14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083218,FDI06_gp015,FDI06_gp015,CPT_Miro15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083219,FDI06_gp016,FDI06_gp016,CPT_Miro16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083220,FDI06_gp017,FDI06_gp017,CPT_Miro17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083221,FDI06_gp018,FDI06_gp018,CPT_Miro18,-,-,-,peptidoglycan-binding protein,protein-coding,-,-,-,peptidoglycan-binding protein,20200910,-
1675608,40083222,FDI06_gp019,FDI06_gp019,CPT_Miro19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083223,FDI06_gp020,FDI06_gp020,CPT_Miro20,-,-,-,DNA exonuclease,protein-coding,-,-,-,DNA exonuclease,20200910,-
1675608,40083224,FDI06_gp021,FDI06_gp021,CPT_Miro21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083225,FDI06_gp022,FDI06_gp022,CPT_Miro22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083226,FDI06_gp023,FDI06_gp023,CPT_Miro23,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1675608,40083227,FDI06_gp024,FDI06_gp024,CPT_Miro24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083228,FDI06_gp025,FDI06_gp025,CPT_Miro25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083229,FDI06_gp026,FDI06_gp026,CPT_Miro26,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200910,-
1675608,40083230,FDI06_gp027,FDI06_gp027,CPT_Miro27,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1675608,40083231,FDI06_gp028,FDI06_gp028,CPT_Miro28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1675608,40083232,FDI06_gp029,FDI06_gp029,CPT_Miro29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083233,FDI06_gp030,FDI06_gp030,CPT_Miro30,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1675608,40083234,FDI06_gp031,FDI06_gp031,CPT_Miro31,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200910,-
1675608,40083235,FDI06_gp032,FDI06_gp032,CPT_Miro32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083236,FDI06_gp033,FDI06_gp033,CPT_Miro33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083237,FDI06_gp034,FDI06_gp034,CPT_Miro34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083238,FDI06_gp035,FDI06_gp035,CPT_Miro35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083239,FDI06_gp036,FDI06_gp036,CPT_Miro36,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1675608,40083240,FDI06_gp037,FDI06_gp037,CPT_Miro37,-,-,-,head assembly protein,protein-coding,-,-,-,head assembly protein,20200919,-
1675608,40083241,FDI06_gp038,FDI06_gp038,CPT_Miro38,-,-,-,DNA recombination and repair protein,protein-coding,-,-,-,DNA recombination and repair protein,20200910,-
1675608,40083242,FDI06_gp039,FDI06_gp039,CPT_Miro39,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1675608,40083243,FDI06_gp040,FDI06_gp040,CPT_Miro40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083244,FDI06_gp041,FDI06_gp041,CPT_Miro41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675608,40083245,FDI06_gp042,FDI06_gp042,CPT_Miro42,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200910,-
1675608,40083246,FDI06_gp043,FDI06_gp043,CPT_Miro43,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
