#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2282909,60329350,2,I5H45_gp002,PBI_HARLEY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2282909,60329351,3,I5H45_gp003,PBI_HARLEY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2282909,60329352,4,I5H45_gp004,PBI_HARLEY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2282909,60329353,5,I5H45_gp005,PBI_HARLEY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2282909,60329354,6,I5H45_gp006,PBI_HARLEY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2282909,60329355,7,I5H45_gp007,PBI_HARLEY_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2282909,60329356,8,I5H45_gp008,PBI_HARLEY_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2282909,60329357,9,I5H45_gp009,PBI_HARLEY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2282909,60329358,10,I5H45_gp010,PBI_HARLEY_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2282909,60329359,11,I5H45_gp011,PBI_HARLEY_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
2282909,60329360,13,I5H45_gp012,PBI_HARLEY_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2282909,60329361,14,I5H45_gp014,PBI_HARLEY_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2282909,60329362,12,I5H45_gp013,PBI_HARLEY_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
